site,date_time,discharge,notes
4198000,1/1/2020 0:00,2910,cubic feet per second
4198000,1/1/2020 0:15,2910,cubic feet per second
4198000,1/1/2020 0:30,2910,cubic feet per second
4198000,1/1/2020 0:45,2890,cubic feet per second
4198000,1/1/2020 1:00,2890,cubic feet per second
4198000,1/1/2020 1:15,2870,cubic feet per second
4198000,1/1/2020 1:30,2870,cubic feet per second
4198000,1/1/2020 1:45,2870,cubic feet per second
4198000,1/1/2020 2:00,2850,cubic feet per second
4198000,1/1/2020 2:15,2850,cubic feet per second
4198000,1/1/2020 2:30,2840,cubic feet per second
4198000,1/1/2020 2:45,2840,cubic feet per second
4198000,1/1/2020 3:00,2840,cubic feet per second
4198000,1/1/2020 3:15,2820,cubic feet per second
4198000,1/1/2020 3:30,2820,cubic feet per second
4198000,1/1/2020 3:45,2800,cubic feet per second
4198000,1/1/2020 4:00,2780,cubic feet per second
4198000,1/1/2020 4:15,2780,cubic feet per second
4198000,1/1/2020 4:30,2780,cubic feet per second
4198000,1/1/2020 4:45,2760,cubic feet per second
4198000,1/1/2020 5:00,2760,cubic feet per second
4198000,1/1/2020 5:15,2750,cubic feet per second
4198000,1/1/2020 5:30,2730,cubic feet per second
4198000,1/1/2020 5:45,2730,cubic feet per second
4198000,1/1/2020 6:00,2710,cubic feet per second
4198000,1/1/2020 6:15,2710,cubic feet per second
4198000,1/1/2020 6:30,2710,cubic feet per second
4198000,1/1/2020 6:45,2690,cubic feet per second
4198000,1/1/2020 7:00,2690,cubic feet per second
4198000,1/1/2020 7:15,2680,cubic feet per second
4198000,1/1/2020 7:30,2680,cubic feet per second
4198000,1/1/2020 7:45,2660,cubic feet per second
4198000,1/1/2020 8:00,2640,cubic feet per second
4198000,1/1/2020 8:15,2640,cubic feet per second
4198000,1/1/2020 8:30,2620,cubic feet per second
4198000,1/1/2020 8:45,2620,cubic feet per second
4198000,1/1/2020 9:00,2610,cubic feet per second
4198000,1/1/2020 9:15,2610,cubic feet per second
4198000,1/1/2020 9:30,2590,cubic feet per second
4198000,1/1/2020 9:45,2590,cubic feet per second
4198000,1/1/2020 10:00,2570,cubic feet per second
4198000,1/1/2020 10:15,2550,cubic feet per second
4198000,1/1/2020 10:30,2550,cubic feet per second
4198000,1/1/2020 10:45,2540,cubic feet per second
4198000,1/1/2020 11:00,2520,cubic feet per second
4198000,1/1/2020 11:15,2520,cubic feet per second
4198000,1/1/2020 11:30,2500,cubic feet per second
4198000,1/1/2020 11:45,2500,cubic feet per second
4198000,1/1/2020 12:00,2490,cubic feet per second
4198000,1/1/2020 12:15,2470,cubic feet per second
4198000,1/1/2020 12:30,2470,cubic feet per second
4198000,1/1/2020 12:45,2450,cubic feet per second
4198000,1/1/2020 13:00,2450,cubic feet per second
4198000,1/1/2020 13:15,2440,cubic feet per second
4198000,1/1/2020 13:30,2420,cubic feet per second
4198000,1/1/2020 13:45,2420,cubic feet per second
4198000,1/1/2020 14:00,2400,cubic feet per second
4198000,1/1/2020 14:15,2390,cubic feet per second
4198000,1/1/2020 14:30,2390,cubic feet per second
4198000,1/1/2020 14:45,2370,cubic feet per second
4198000,1/1/2020 15:00,2370,cubic feet per second
4198000,1/1/2020 15:15,2350,cubic feet per second
4198000,1/1/2020 15:30,2340,cubic feet per second
4198000,1/1/2020 15:45,2340,cubic feet per second
4198000,1/1/2020 16:00,2320,cubic feet per second
4198000,1/1/2020 16:15,2300,cubic feet per second
4198000,1/1/2020 16:30,2300,cubic feet per second
4198000,1/1/2020 16:45,2290,cubic feet per second
4198000,1/1/2020 17:00,2290,cubic feet per second
4198000,1/1/2020 17:15,2270,cubic feet per second
4198000,1/1/2020 17:30,2260,cubic feet per second
4198000,1/1/2020 17:45,2260,cubic feet per second
4198000,1/1/2020 18:00,2240,cubic feet per second
4198000,1/1/2020 18:15,2240,cubic feet per second
