,,,Sample Type Suffix,,,Quality Control Data Summary,,,Change cell H4 to reflect actual concentration (mg/L) of staNAard. Actual concentration can be fouNA on the appropriate lot # QC COA.,,Blank Data,
,,,LCS,Lab Control Standard,,LCS,,,,,Blank,0.75
Technician:,Ruby/Gillian,,B,Blank,,Concentration (mg/L),,,,,,
QC StaNAard Lot #: ,,,WS,Water Sample,,LCS ,93.2,99.00,,,,
,,,,,,% Recovery,93.2,106.22,,,,
,,,,,,,,,,,,
Pan ID,Sample,Sample Type,Date Collected,Volume Filtered (L),Initial Wt #1 (g),Initial Wt #2 (g),FInal Wt #1 (g),FInal Wt #2 (g),TSS (mg/L),Avg TSS (mg/L),Stdev,RPD (%)
1,LCS,LCS,,0.1,0.1377,0.1376,0.1475,0.1476,99,,,
2,Blank,B,,0.1,0.1378,0.1376,0.1376,0.1377,-0.5,,,
3,Muddy_Creek,WS,8/12/2025,0.1,0.1379,0.138,0.1451,0.1454,73,78.75,8.13,-14.60
4,Muddy_Creek,WS,8/12/2025,0.1,0.1376,0.1376,0.146,0.1461,84.5,,,
5,ODNR_4,WS,8/12/2025,0.1,0.1382,0.138,0.1412,0.1414,32,33.75,2.47,-10.37
6,ODNR_4,WS,8/12/2025,0.1,0.1383,0.1381,0.1417,0.1418,35.5,,,
7,ODNR_6,WS,8/12/2025,0.1,0.1391,0.139,0.1416,0.1419,27,28.00,1.41,-7.14
8,ODNR_6,WS,8/12/2025,0.1,0.138,0.1379,0.1408,0.1409,29,,,
9,Bridge,WS,8/12/2025,0.1,0.1391,0.1388,0.1421,0.1422,32,31.75,0.35,1.57
10,Bridge,WS,8/12/2025,0.1,0.1371,0.1368,0.1402,0.14,31.5,,,
11,ODNR_2,WS,8/12/2025,0.1,0.138,0.1379,0.1398,0.1399,19,21.25,3.18,-21.18
12,ODNR_2,WS,8/12/2025,0.1,0.1381,0.138,0.1402,0.1406,23.5,,,
13,Buoy_2,WS,8/12/2025,0.1,0.1376,0.1374,0.139,0.1397,18.5,19.75,1.77,-12.66
14,Buoy_2,WS,8/12/2025,0.1,0.1371,0.1369,0.139,0.1392,21,,,
15,ODNR_1,WS,8/12/2025,0.1,0.1386,0.1386,0.1396,0.14,12,12.50,0.71,-8.00
16,ODNR_1,WS,8/12/2025,0.1,0.1369,0.1368,0.138,0.1383,13,,,
17,EC_1163,WS,8/12/2025,0.1,0.1373,0.1372,0.1395,0.1398,24,25.25,1.77,-9.90
18,EC_1163,WS,8/12/2025,0.1,0.1389,0.1391,0.142,0.1413,26.5,,,
19,Causeway,WS,8/12/2025,0.1,0.1376,0.1376,0.1404,0.1407,29.5,27.75,2.47,12.61
20,Causeway,WS,8/12/2025,0.1,0.1399,0.1398,0.1423,0.1426,26,,,
21,Bells,WS,8/12/2025,0.1,0.1383,0.1378,0.1386,0.1389,7,6.25,1.06,24.00
22,Bells,WS,8/12/2025,0.1,0.1366,0.1367,0.1371,0.1373,5.5,,,
25,Blank,B,,0.1,0.138,0.1379,0.1381,0.1382,2,,,
