,,,Sample Type Suffix,,,Quality Control Data Summary,,,Change cell H4 to reflect actual concentration (mg/L) of staNAard. Actual concentration can be fouNA on the appropriate lot # QC COA.,,Blank Data,
,,,LCS,Lab Control Standard,,LCS,,,,,Blank,1.25
Technician:,Gillian/Margaret,,B,Blank,,Concentration (mg/L),,,,,,
QC StaNAard Lot #: ,,,WS,Water Sample,,LCS ,93.2,92.50,,,,
,,,,,,% Recovery,93.2,99.25,,,,
,,,,,,,,,,,,
Pan ID,Sample,Sample Type,Date Collected,Volume Filtered (L),Initial Wt #1 (g),Initial Wt #2 (g),FInal Wt #1 (g),FInal Wt #2 (g),TSS (mg/L),Avg TSS (mg/L),Stdev,RPD (%)
1,LCS,LCS,,0.1,0.1368,0.1368,0.1462,0.1459,92.5,,,
2,Blank,B,,0.1,0.1371,0.137,0.1373,0.1369,0.5,,,
3,Muddy_Creek,WS,7/29/2025,0.1,0.1371,0.1372,0.1457,0.1452,83,81.25,2.47,4.31
4,Muddy_Creek,WS,7/29/2025,0.1,0.1373,0.1374,0.1455,0.1451,79.5,,,
5,ODNR_4,WS,7/29/2025,0.1,0.1367,0.1368,0.141,0.1402,38.5,39.00,0.71,-2.56
6,ODNR_4,WS,7/29/2025,0.1,0.1368,0.1367,0.1411,0.1403,39.5,,,
7,ODNR_6,WS,7/29/2025,0.1,0.1371,0.1371,0.1406,0.1401,32.5,31.50,1.41,6.35
8,ODNR_6,WS,7/29/2025,0.1,0.138,0.1381,0.1412,0.141,30.5,,,
9,Bridge,WS,7/29/2025,0.1,0.1375,0.1377,0.1419,0.1416,41.5,43.00,2.12,-6.98
10,Bridge,WS,7/29/2025,0.1,0.137,0.1374,0.1418,0.1415,44.5,,,
11,ODNR_2,WS,7/29/2025,0.1,0.1395,0.1394,0.1412,0.1408,15.5,17.25,2.47,-20.29
12,ODNR_2,WS,7/29/2025,0.1,0.1379,0.1382,0.1401,0.1398,19,,,
13,Buoy_2,WS,7/29/2025,0.1,0.1384,0.1386,0.1403,0.1398,15.5,19.00,4.95,-36.84
14,Buoy_2,WS,7/29/2025,0.1,0.1382,0.1382,0.1404,0.1405,22.5,,,
15,ODNR_1,WS,7/29/2025,0.1,0.1361,0.1361,0.1378,0.1378,17,19.00,2.83,-21.05
16,ODNR_1,WS,7/29/2025,0.1,0.1362,0.1367,0.1388,0.1383,21,,,
17,EC_1163,WS,7/29/2025,0.1,0.1378,0.1382,0.1395,0.1394,14.5,16.00,2.12,-18.75
18,EC_1163,WS,7/29/2025,0.1,0.1363,0.1367,0.1385,0.138,17.5,,,
19,Causeway,WS,7/29/2025,0.1,0.1376,0.1378,0.1411,0.1408,32.5,30.50,2.83,13.11
20,Causeway,WS,7/29/2025,0.1,0.1393,0.1398,0.1424,0.1424,28.5,,,
21,Bells,WS,7/29/2025,0.1,0.1371,0.1373,0.1385,0.1382,11.5,10.50,1.41,19.05
22,Bells,WS,7/29/2025,0.1,0.1379,0.1384,0.1393,0.1389,9.5,,,
25,Blank,B,,0.1,0.1375,0.1378,0.1382,0.1375,2,,,
