,,,Sample Type Suffix,,,Quality Control Data Summary,,,Change cell H4 to reflect actual concentration (mg/L) of staNAard. Actual concentration can be fouNA on the appropriate lot # QC COA.,,Blank Data,
,,,LCS,Lab Control Standard,,LCS,,,,,Blank,-1.25
Technician:,ruby,,B,Blank,,Concentration (mg/L),,,,,,
QC StaNAard Lot #: ,,,WS,Water Sample,,LCS ,100,90.50,,,,
,,,,,,% Recovery,100,90.50,,,,
,,,,,,,,,,,,
Pan ID,Sample,Sample Type,Date Collected,Volume Filtered (L),Initial Wt #1 (g),Initial Wt #2 (g),FInal Wt #1 (g),FInal Wt #2 (g),TSS (mg/L),Avg TSS (mg/L),Stdev,RPD (%)
1,LCS,LCS,,0.1,0.1369,0.137,0.1459,0.1461,90.5,,,
2,Blank,B,,0.1,0.1374,0.1373,0.1373,0.1372,-1,,,
3,Muddy_Creek,WS,6/24/2025,0.1,0.1387,0.1387,0.1459,0.1461,73,72.75,0.35,0.69
4,Muddy_Creek,WS,6/24/2025,0.1,0.1372,0.1368,0.1443,0.1442,72.5,,,
5,ODNR_4,WS,6/24/2025,0.1,0.1371,0.1373,0.1397,0.1399,26,26.00,0.00,0.00
6,ODNR_4,WS,6/24/2025,0.1,0.1369,0.1368,0.1394,0.1395,26,,,
7,ODNR_6,WS,6/24/2025,0.1,0.1372,0.1371,0.1395,0.1397,24.5,24.00,0.71,4.17
8,ODNR_6,WS,6/24/2025,0.1,0.1265,0.1265,0.1285,0.1292,23.5,,,
9,Bridge,WS,6/24/2025,0.1,0.126,0.1257,0.1281,0.1281,22.5,23.00,0.71,-4.35
10,Bridge,WS,6/24/2025,0.1,0.1269,0.1272,0.1294,0.1294,23.5,,,
11,ODNR_2,WS,6/24/2025,0.1,0.1266,0.1265,0.1275,0.1272,8,9.00,1.41,-22.22
12,ODNR_2,WS,6/24/2025,0.1,0.1275,0.1272,0.1284,0.1283,10,,,
13,Buoy_2,WS,6/24/2025,0.1,0.1276,0.1273,0.1283,0.1285,9.5,9.50,0.00,0.00
14,Buoy_2,WS,6/24/2025,0.1,0.128,0.1279,0.129,0.1288,9.5,,,
15,ODNR_1,WS,6/24/2025,0.1,0.1267,0.1268,0.1277,0.1275,8.5,18.25,13.79,-106.85
16,ODNR_1,WS,6/24/2025,0.1,0.1268,0.1266,0.1293,0.1297,28,,,
17,EC_1163,WS,6/24/2025,0.1,0.1268,0.1268,0.1293,0.1297,27,12.00,21.21,250.00
18,EC_1163,WS,6/24/2025,0.1,0.1284,0.1286,0.128,0.1284,-3,,,
19,Causeway,WS,6/24/2025,0.1,0.1273,0.1274,0.1289,0.129,16,14.00,2.83,28.57
20,Causeway,WS,6/24/2025,0.1,0.1267,0.1266,0.1277,0.128,12,,,
21,Bells,WS,6/24/2025,0.1,0.1393,0.1392,0.1393,0.1397,2.5,3.25,1.06,-46.15
22,Bells,WS,6/24/2025,0.1,0.1391,0.139,0.1392,0.1397,4,,,
25,Blank,B,,0.1,0.1367,0.1367,0.1366,0.1365,-1.5,,,
