,,,Sample Type Suffix,,,Quality Control Data Summary,,,Change cell H4 to reflect actual concentration (mg/L) of staNAard. Actual concentration can be fouNA on the appropriate lot # QC COA.,,Blank Data,
,,,LCS,Lab Control Standard,,LCS,,,,,Blank,-0.50
Technician:,Ruby/Gillian,,B,Blank,,Concentration (mg/L),,,,,,
QC StaNAard Lot #: ,,,WS,Water Sample,,LCS ,93.2,106.50,,,,
,,,,,,% Recovery,93.2,114.27,,,,
,,,,,,,,,,,,
Pan ID,Sample,Sample Type,Date Collected,Volume Filtered (L),Initial Wt #1 (g),Initial Wt #2 (g),FInal Wt #1 (g),FInal Wt #2 (g),TSS (mg/L),Avg TSS (mg/L),Stdev,RPD (%)
1,LCS,LCS,,0.1,0.1384,0.138,0.1488,0.1489,106.5,,,
2,Blank,B,,0.1,0.1387,0.1384,0.1383,0.1387,-0.5,,,
3,Muddy_Creek,WS,7/15/2025,0.1,0.1379,0.1379,0.1433,0.1436,55.5,54.50,1.41,3.67
4,Muddy_Creek,WS,7/15/2025,0.1,0.1372,0.1374,0.1425,0.1428,53.5,,,
5,ODNR_4,WS,7/15/2025,0.1,0.1381,0.1381,0.1418,0.142,38,36.50,2.12,8.22
6,ODNR_4,WS,7/15/2025,0.1,0.1381,0.138,0.1414,0.1417,35,,,
7,ODNR_6,WS,7/15/2025,0.1,0.1376,0.1376,0.1406,0.1406,30,30.25,0.35,-1.65
8,ODNR_6,WS,7/15/2025,0.1,0.1375,0.1373,0.1405,0.1404,30.5,,,
9,Bridge,WS,7/15/2025,0.1,0.1376,0.1374,0.1416,0.1416,41,39.75,1.77,6.29
10,Bridge,WS,7/15/2025,0.1,0.1375,0.1374,0.1413,0.1413,38.5,,,
11,ODNR_2,WS,7/15/2025,0.1,0.136,0.1358,0.1375,0.1376,16.5,15.75,1.06,9.52
12,ODNR_2,WS,7/15/2025,0.1,0.1381,0.1381,0.1396,0.1396,15,,,
13,Buoy_2,WS,7/15/2025,0.1,0.138,0.1378,0.1394,0.1395,15.5,15.50,0.00,0.00
14,Buoy_2,WS,7/15/2025,0.1,0.1372,0.1371,0.1387,0.1387,15.5,,,
15,ODNR_1,WS,7/15/2025,0.1,0.1372,0.1371,0.1391,0.1392,20,19.50,0.71,5.13
16,ODNR_1,WS,7/15/2025,0.1,0.1374,0.1374,0.1392,0.1394,19,,,
17,EC_1163,WS,7/15/2025,0.1,0.1387,0.1388,0.1405,0.1404,17,18.00,1.41,-11.11
18,EC_1163,WS,7/15/2025,0.1,0.1373,0.137,0.139,0.1391,19,,,
19,Causeway,WS,7/15/2025,0.1,0.1374,0.1373,0.14,0.14,26.5,25.75,1.06,5.83
20,Causeway,WS,7/15/2025,0.1,0.1397,0.1395,0.142,0.1422,25,,,
21,Bells,WS,7/15/2025,0.1,0.1393,0.1392,0.1394,0.1396,2.5,2.00,0.71,50.00
22,Bells,WS,7/15/2025,0.1,0.136,0.1358,0.136,0.1361,1.5,,,
25,Blank,B,,0.1,0.1368,0.1368,0.1366,0.1369,-0.5,,,
