,,,Sample Type Suffix,,,Quality Control Data Summary,,,Change cell H4 to reflect actual concentration (mg/L) of staNAard. Actual concentration can be fouNA on the appropriate lot # QC COA.,,Blank Data,
,,,LCS,Lab Control Standard,,LCS,,,,,Blank,-3.00
Technician:,Ruby/Gillian,,B,Blank,,Concentration (mg/L),,,,,,
QC StaNAard Lot #: ,,,WS,Water Sample,,LCS ,93.2,86.00,,,,
,,,,,,% Recovery,93.2,92.27,,,,
,,,,,,,,,,,,
Pan ID,Sample,Sample Type,Date Collected,Volume Filtered (L),Initial Wt #1 (g),Initial Wt #2 (g),FInal Wt #1 (g),FInal Wt #2 (g),TSS (mg/L),Avg TSS (mg/L),Stdev,RPD (%)
1,LCS,LCS,,0.1,0.1379,0.1381,0.1465,0.1467,86,,,
2,Blank,B,,0.1,0.1368,0.1367,0.1362,0.1366,-3.5,,,
3,Muddy_Creek,WS,8/26/2025,0.1,0.1389,0.1386,0.1559,0.1563,173.5,161.25,17.32,15.19
4,Muddy_Creek,WS,8/26/2025,0.1,0.1368,0.1366,0.1514,0.1518,149,,,
5,ODNR_4,WS,8/26/2025,0.1,0.1359,0.1358,0.1389,0.1389,30.5,29.25,1.77,8.55
6,ODNR_4,WS,8/26/2025,0.1,0.1365,0.1364,0.1392,0.1393,28,,,
7,ODNR_6,WS,8/26/2025,0.1,0.1369,0.1366,0.139,0.139,22.5,22.50,0.00,0.00
8,ODNR_6,WS,8/26/2025,0.1,0.1362,0.1361,0.1384,0.1384,22.5,,,
9,Bridge,WS,8/26/2025,0.1,0.1371,0.137,0.1408,0.141,38.5,39.00,0.71,-2.56
10,Bridge,WS,8/26/2025,0.1,0.1368,0.1367,0.1406,0.1408,39.5,,,
11,ODNR_2,WS,8/26/2025,0.1,0.1365,0.1363,0.1392,0.1388,26,49.75,33.59,-95.48
12,ODNR_2,WS,8/26/2025,0.1,0.1377,0.1373,0.1399,0.1498,73.5,,,
13,Buoy_2,WS,8/26/2025,0.1,0.1374,0.1371,0.1392,0.1393,20,20.25,0.35,-2.47
14,Buoy_2,WS,8/26/2025,0.1,0.1367,0.1366,0.1386,0.1388,20.5,,,
15,ODNR_1,WS,8/26/2025,0.1,0.1372,0.1375,0.1393,0.1393,19.5,20.00,0.71,-5.00
16,ODNR_1,WS,8/26/2025,0.1,0.1367,0.1369,0.1389,0.1388,20.5,,,
17,EC_1163,WS,8/26/2025,0.1,0.1359,0.1358,0.137,0.1368,10.5,12.00,2.12,-25.00
18,EC_1163,WS,8/26/2025,0.1,0.1359,0.1356,0.1371,0.1371,13.5,,,
19,Causeway,WS,8/26/2025,0.1,0.137,0.137,0.14,0.14,30,33.50,4.95,-20.90
20,Causeway,WS,8/26/2025,0.1,0.1369,0.1369,0.1407,0.1405,37,,,
21,Bells,WS,8/26/2025,0.1,0.137,0.1369,,,,,,Error
22,Bells,WS,8/26/2025,0.1,0.1373,0.1374,,,,,,
25,Blank,B,,0.1,0.1365,0.1363,0.136,0.1363,-2.5,,,
