,,,Sample Type Suffix,,,Quality Control Data Summary,,,Change cell H4 to reflect actual concentration (mg/L) of staNAard. Actual concentration can be fouNA on the appropriate lot # QC COA.,,Blank Data,
,,,LCS,Lab Control Standard,,LCS,,,,,Blank,0.00
Technician:,ruby,,B,Blank,,Concentration (mg/L),,,,,,
QC StaNAard Lot #: ,,,WS,Water Sample,,LCS ,93.2,97.00,,,,
,,,,,,% Recovery,93.2,104.08,,,,
,,,,,,,,,,,,
Pan ID,Sample,Sample Type,Date Collected,Volume Filtered (L),Initial Wt #1 (g),Initial Wt #2 (g),FInal Wt #1 (g),FInal Wt #2 (g),TSS (mg/L),Avg TSS (mg/L),Stdev,RPD (%)
1,LCS,LCS,,0.1,0.1371,0.1369,0.1468,0.1466,97,,,
2,Blank,B,,0.1,0.1369,0.1366,0.1368,0.1368,0.5,,,
3,Muddy_Creek,WS,9/16/2025,0.1,0.137,0.137,0.1404,0.1402,33,30.75,3.18,14.63
4,Muddy_Creek,WS,9/16/2025,0.1,0.1367,0.1367,0.1396,0.1395,28.5,,,
5,ODNR_4,WS,9/16/2025,0.1,0.136,0.1359,0.1392,0.139,31.5,30.00,2.12,10.00
6,ODNR_4,WS,9/16/2025,0.1,0.1369,0.1368,0.1398,0.1396,28.5,,,
7,ODNR_6,WS,9/16/2025,0.1,0.1385,0.1383,0.1404,0.1404,20,19.50,0.71,5.13
8,ODNR_6,WS,9/16/2025,0.1,0.1383,0.1381,0.1402,0.14,19,,,
9,Bridge,WS,9/16/2025,0.1,0.1376,0.1375,0.139,0.1389,14,14.50,0.71,-6.90
10,Bridge,WS,9/16/2025,0.1,0.1371,0.1371,0.1386,0.1386,15,,,
11,ODNR_2,WS,9/16/2025,0.1,0.137,0.1366,0.1387,0.1384,17.5,17.25,0.35,2.90
12,ODNR_2,WS,9/16/2025,0.1,0.1361,0.136,0.1378,0.1377,17,,,
13,Buoy_2,WS,9/16/2025,0.1,0.1384,0.1384,0.1399,0.1401,16,16.00,0.00,0.00
14,Buoy_2,WS,9/16/2025,0.1,0.1384,0.1383,0.14,0.1399,16,,,
15,ODNR_1,WS,9/16/2025,0.1,0.1367,0.1368,0.1379,0.1378,11,11.50,0.71,-8.70
16,ODNR_1,WS,9/16/2025,0.1,0.1367,0.1368,0.1379,0.138,12,,,
17,EC_1163,WS,9/16/2025,0.1,0.1356,0.1354,0.1371,0.137,15.5,17.50,2.83,-22.86
18,EC_1163,WS,9/16/2025,0.1,0.1369,0.1367,0.1387,0.1388,19.5,,,
19,Causeway,WS,9/16/2025,0.1,0.1379,0.1378,0.1402,0.1403,24,21.00,4.24,28.57
20,Causeway,WS,9/16/2025,0.1,0.1354,0.1356,0.1374,0.1372,18,,,
21,Bells,WS,9/16/2025,0.1,0.1378,0.1377,,,,,,Error
22,Bells,WS,9/16/2025,0.1,0.1366,0.1364,,,,,,
25,Blank,B,,0.1,0.1363,0.136,0.1361,0.1361,-0.5,,,
