,,,Sample Type Suffix,,,Quality Control Data Summary,,,Change cell H4 to reflect actual concentration (mg/L) of staNAard. Actual concentration can be fouNA on the appropriate lot # QC COA.,,Blank Data,
,,,LCS,Lab Control Standard,,LCS,,,,,Blank,-2.00
Technician:,ruby,,B,Blank,,Concentration (mg/L),,,,,,
QC StaNAard Lot #: ,,,WS,Water Sample,,LCS ,93.2,94.50,,,,
,,,,,,% Recovery,93.2,101.39,,,,
,,,,,,,,,,,,
Pan ID,Sample,Sample Type,Date Collected,Volume Filtered (L),Initial Wt #1 (g),Initial Wt #2 (g),FInal Wt #1 (g),FInal Wt #2 (g),TSS (mg/L),Avg TSS (mg/L),Stdev,RPD (%)
1,LCS,LCS,,0.1,0.1363,0.1364,0.1457,0.1459,94.5,,,
2,Blank,B,,0.1,0.1372,0.1372,0.1368,0.1372,-2,,,
3,Muddy_Creek,WS,9/9/2025,0.1,0.1368,0.1369,0.1492,0.1494,124.5,125.75,1.77,-1.99
4,Muddy_Creek,WS,9/9/2025,0.1,0.1364,0.1362,0.1489,0.1491,127,,,
5,ODNR_4,WS,9/9/2025,0.1,0.1372,0.137,0.1391,0.1393,21,21.50,0.71,-4.65
6,ODNR_4,WS,9/9/2025,0.1,0.1374,0.137,0.1392,0.1396,22,,,
7,ODNR_6,WS,9/9/2025,0.1,0.1359,0.1362,0.1378,0.1378,17.5,17.00,0.71,5.88
8,ODNR_6,WS,9/9/2025,0.1,0.1365,0.1364,0.138,0.1382,16.5,,,
9,Bridge,WS,9/9/2025,0.1,0.1371,0.1369,0.1387,0.1388,17.5,21.75,6.01,-39.08
10,Bridge,WS,9/9/2025,0.1,0.138,0.1383,0.1406,0.1409,26,,,
11,ODNR_2,WS,9/9/2025,0.1,0.1364,0.1365,0.1373,0.1377,10.5,11.50,1.41,-17.39
12,ODNR_2,WS,9/9/2025,0.1,0.1366,0.1365,0.1377,0.1379,12.5,,,
13,Buoy_2,WS,9/9/2025,0.1,0.1359,0.136,0.1369,0.1371,10.5,9.75,1.06,15.38
14,Buoy_2,WS,9/9/2025,0.1,0.1372,0.1374,0.1381,0.1383,9,,,
15,ODNR_1,WS,9/9/2025,0.1,0.1374,0.1378,0.1386,0.1386,10,10.00,0.00,0.00
16,ODNR_1,WS,9/9/2025,0.1,0.1367,0.1368,0.1375,0.138,10,,,
17,EC_1163,WS,9/9/2025,0.1,0.1377,0.1376,0.1388,0.1392,13.5,12.75,1.06,11.76
18,EC_1163,WS,9/9/2025,0.1,0.1354,0.1355,0.1364,0.1369,12,,,
19,Causeway,WS,9/9/2025,0.1,0.1361,0.1359,0.1375,0.1379,17,16.75,0.35,2.99
20,Causeway,WS,9/9/2025,0.1,0.1368,0.1367,0.1382,0.1386,16.5,,,
21,Bells,WS,9/9/2025,0.1,0.1368,0.1367,0.137,0.1374,4.5,4.00,0.71,25.00
22,Bells,WS,9/9/2025,0.1,0.1363,0.1363,0.1364,0.1369,3.5,,,
25,Blank,B,,0.1,0.1378,0.138,0.1375,0.1379,-2,,,
