,,,Sample Type Suffix,,,Quality Control Data Summary,,,Change cell H4 to reflect actual concentration (mg/L) of staNAard. Actual concentration can be fouNA on the appropriate lot # QC COA.,,Blank Data,
,,,LCS,Lab Control Standard,,LCS,,,,,Blank,-2.75
Technician:,Ruby/Gillian,,B,Blank,,Concentration (mg/L),,,,,,
QC StaNAard Lot #: ,,,WS,Water Sample,,LCS ,93.2,105.00,,,,
,,,,,,% Recovery,93.2,112.66,,,,
,,,,,,,,,,,,
Pan ID,Sample,Sample Type,Date Collected,Volume Filtered (L),Initial Wt #1 (g),Initial Wt #2 (g),FInal Wt #1 (g),FInal Wt #2 (g),TSS (mg/L),Avg TSS (mg/L),Stdev,RPD (%)
1,LCS,LCS,,0.1,0.1389,0.1389,0.1492,0.1496,105,,,
2,Blank,B,,0.1,0.1371,0.1372,0.1362,0.1373,-4,,,
3,Muddy_Creek,WS,7/22/2025,0.1,0.1378,0.1378,0.1454,0.1455,76.5,75.25,1.77,3.32
4,Muddy_Creek,WS,7/22/2025,0.1,0.1375,0.1373,0.1448,0.1448,74,,,
5,ODNR_4,WS,7/22/2025,0.1,0.1364,0.1363,0.1397,0.1399,34.5,35.00,0.71,-2.86
6,ODNR_4,WS,7/22/2025,0.1,0.137,0.1368,0.1404,0.1405,35.5,,,
7,ODNR_6,WS,7/22/2025,0.1,0.1376,0.1376,0.1409,0.1412,34.5,34.50,0.00,0.00
8,ODNR_6,WS,7/22/2025,0.1,0.1394,0.1393,0.1427,0.1429,34.5,,,
9,Bridge,WS,7/22/2025,0.1,0.1391,0.1389,0.1425,0.1428,36.5,35.75,1.06,4.20
10,Bridge,WS,7/22/2025,0.1,0.1375,0.1374,0.1407,0.1412,35,,,
11,ODNR_2,WS,7/22/2025,0.1,0.1375,0.1375,0.1391,0.1391,16,15.75,0.35,3.17
12,ODNR_2,WS,7/22/2025,0.1,0.1384,0.1384,0.14,0.1399,15.5,,,
13,Buoy_2,WS,7/22/2025,0.1,0.1377,0.1377,0.1395,0.1396,18.5,18.25,0.35,2.74
14,Buoy_2,WS,7/22/2025,0.1,0.137,0.137,0.1387,0.1389,18,,,
15,ODNR_1,WS,7/22/2025,0.1,0.1379,0.1377,0.1393,0.1392,14.5,16.25,2.47,-21.54
16,ODNR_1,WS,7/22/2025,0.1,0.1357,0.1356,0.1375,0.1374,18,,,
17,EC_1163,WS,7/22/2025,0.1,0.137,0.1368,0.1378,0.138,10,9.50,0.71,10.53
18,EC_1163,WS,7/22/2025,0.1,0.1388,0.1389,0.1397,0.1398,9,,,
19,Causeway,WS,7/22/2025,0.1,0.1378,0.1376,0.1404,0.1408,29,27.50,2.12,10.91
20,Causeway,WS,7/22/2025,0.1,0.1376,0.1377,0.1402,0.1403,26,,,
21,Bells,WS,7/22/2025,0.1,0.1373,0.1372,0.1375,0.1379,4.5,3.50,1.41,57.14
22,Bells,WS,7/22/2025,0.1,0.1367,0.1366,0.1367,0.1371,2.5,,,
25,Blank,B,,0.1,0.138,0.1378,0.1376,0.1379,-1.5,,,
