P1E	02.00	3	Date	Time	
P38	02.00	3	9/13/2021	9:49:36 AM	
P37	02.00	3	9/13/2021	9:49:39 AM	
P3B	02.00	3	9/13/2021	9:49:42 AM	
P3C	02.00	3	9/13/2021	9:49:45 AM	
P31	02.00	3	9/13/2021	9:49:48 AM	
P3A	02.00	3	9/13/2021	9:49:52 AM	
P3D	02.00	3	9/13/2021	9:49:55 AM	
P30	02.00	3	9/13/2021	9:49:58 AM	
P34	02.00	3	9/13/2021	9:50:01 AM	
P30	02.00	3	9/13/2021	9:50:05 AM	
P3D	02.00	3	9/13/2021	9:50:08 AM	
P35	02.00	3	9/13/2021	9:50:11 AM	
P31	02.00	3	9/13/2021	9:50:15 AM	
P3C	02.00	3	9/13/2021	9:50:18 AM	
P36	02.00	3	9/13/2021	9:50:21 AM	
P33	02.00	3	9/13/2021	9:50:24 AM	
P3F	02.00	3	9/13/2021	9:50:28 AM	
P37	02.00	3	9/13/2021	9:50:31 AM	
P32	02.00	3	9/13/2021	9:50:34 AM	
P31	02.00	3	9/13/2021	9:50:37 AM	
P30	02.00	3	9/13/2021	9:50:41 AM	
P35	02.00	3	9/13/2021	9:50:44 AM	
P36	02.00	3	9/13/2021	9:50:47 AM	
P30	02.00	3	9/13/2021	9:50:50 AM	
P34	02.00	3	9/13/2021	9:50:54 AM	
P37	02.00	3	9/13/2021	9:50:57 AM	
P34	02.00	3	9/13/2021	9:51:00 AM	
P37	02.00	3	9/13/2021	9:51:03 AM	
P33	02.00	3	9/13/2021	9:51:07 AM	
P35	02.00	3	9/13/2021	9:51:10 AM	
P36	02.00	3	9/13/2021	9:51:13 AM	
P32	02.00	3	9/13/2021	9:51:17 AM	
P36	02.00	3	9/13/2021	9:51:20 AM	
P35	02.00	3	9/13/2021	9:51:23 AM	
P30	02.00	3	9/13/2021	9:51:26 AM	
P37	02.00	3	9/13/2021	9:51:30 AM	
P34	02.00	3	9/13/2021	9:51:33 AM	
P31	02.00	3	9/13/2021	9:51:36 AM	
P3E	02.00	3	9/13/2021	9:51:39 AM	
P33	02.00	3	9/13/2021	9:51:43 AM	
P36	02.00	3	9/13/2021	9:51:46 AM	
P39	02.00	3	9/13/2021	9:51:49 AM	
P33	02.00	3	9/13/2021	9:51:52 AM	
P37	02.00	3	9/13/2021	9:51:56 AM	
P38	02.00	3	9/13/2021	9:51:59 AM	
P35	02.00	3	9/13/2021	9:52:02 AM	
P08	02.00	3	9/13/2021	10:20:13 AM	
P0D	02.00	3	9/13/2021	10:20:16 AM	
P02	02.00	3	9/13/2021	10:20:19 AM	
P0A	02.00	3	9/13/2021	10:20:22 AM	
P0D	02.00	3	9/13/2021	10:20:25 AM	
P01	02.00	3	9/13/2021	10:20:29 AM	
P0B	02.00	3	9/13/2021	10:20:32 AM	
P0C	02.00	3	9/13/2021	10:20:35 AM	
P01	02.00	3	9/13/2021	10:20:38 AM	
P0C	02.00	3	9/13/2021	10:20:42 AM	
P0B	02.00	3	9/13/2021	10:20:45 AM	
P06	02.00	3	9/13/2021	10:20:48 AM	
P0E	02.00	3	9/13/2021	10:20:51 AM	
P0A	02.00	3	9/13/2021	10:20:55 AM	
P07	02.00	3	9/13/2021	10:20:58 AM	
P0A	02.00	3	9/13/2021	10:21:01 AM	
P0E	02.00	3	9/13/2021	10:21:05 AM	
P03	02.00	3	9/13/2021	10:21:08 AM	
P0B	02.00	3	9/13/2021	10:21:11 AM	
P0E	02.00	3	9/13/2021	10:21:14 AM	
P02	02.00	3	9/13/2021	10:21:18 AM	
P08	02.00	3	9/13/2021	10:21:21 AM	
P0D	02.00	3	9/13/2021	10:21:24 AM	
P0E	02.00	3	9/13/2021	10:21:27 AM	
P09	02.00	3	9/13/2021	10:21:31 AM	
P0C	02.00	3	9/13/2021	10:21:34 AM	
P0F	02.00	3	9/13/2021	10:21:37 AM	
P0E	02.00	3	9/13/2021	10:21:41 AM	
P0B	02.00	3	9/13/2021	10:21:44 AM	
P08	02.00	3	9/13/2021	10:21:47 AM	
P0E	02.00	3	9/13/2021	10:21:50 AM	
P0A	02.00	3	9/13/2021	10:21:54 AM	
P09	02.00	3	9/13/2021	10:21:57 AM	
P08	02.00	3	9/13/2021	10:22:00 AM	
P0B	02.00	3	9/13/2021	10:22:03 AM	
P0F	02.00	3	9/13/2021	10:22:07 AM	
P09	02.00	3	9/13/2021	10:22:10 AM	
P0A	02.00	3	9/13/2021	10:22:13 AM	
P0F	02.00	3	9/13/2021	10:22:16 AM	
P0A	02.00	3	9/13/2021	10:22:20 AM	
P09	02.00	3	9/13/2021	10:22:23 AM	
P0C	02.00	3	9/13/2021	10:22:26 AM	
P03	02.00	3	9/13/2021	10:22:29 AM	
P08	02.00	3	9/13/2021	10:22:33 AM	
P0D	02.00	3	9/13/2021	10:22:36 AM	
P02	02.00	3	9/13/2021	10:22:39 AM	
P0F	02.00	3	9/13/2021	10:22:43 AM	
P0A	02.00	3	9/13/2021	10:22:46 AM	
P05	02.00	3	9/13/2021	10:22:49 AM	
P0F	02.00	3	9/13/2021	10:22:52 AM	
P0B	02.00	3	9/13/2021	10:22:56 AM	
P04	02.00	3	9/13/2021	10:22:59 AM	
P0B	02.00	3	9/13/2021	10:23:02 AM	
P0C	02.00	3	9/13/2021	10:23:05 AM	
P00	02.00	3	9/13/2021	10:23:09 AM	
P0A	02.00	3	9/13/2021	10:23:12 AM	
P0D	02.00	3	9/13/2021	10:23:15 AM	
P00	02.00	3	9/13/2021	10:23:18 AM	
P09	02.00	3	9/13/2021	10:23:22 AM	
P0E	02.00	3	9/13/2021	10:23:25 AM	
P03	02.00	3	9/13/2021	10:23:28 AM	
P0B	02.00	3	9/13/2021	10:23:31 AM	
P0F	02.00	3	9/13/2021	10:23:35 AM	
P02	02.00	3	9/13/2021	10:23:38 AM	
