P1E	02.00	3	Date	Time	
P06	02.00	3	8/11/2021	10:14:08 AM	
P0D	02.00	3	8/11/2021	10:14:12 AM	
P0A	02.00	3	8/11/2021	10:14:15 AM	
P06	02.00	3	8/11/2021	10:14:19 AM	
P0E	02.00	3	8/11/2021	10:14:22 AM	
P09	02.00	3	8/11/2021	10:14:25 AM	
P04	02.00	3	8/11/2021	10:14:28 AM	
P0F	02.00	3	8/11/2021	10:14:32 AM	
P08	02.00	3	8/11/2021	10:14:35 AM	
P05	02.00	3	8/11/2021	10:14:38 AM	
P08	02.00	3	8/11/2021	10:14:42 AM	
P0F	02.00	3	8/11/2021	10:14:45 AM	
P02	02.00	3	8/11/2021	10:14:48 AM	
P0A	02.00	3	8/11/2021	10:14:51 AM	
P0E	02.00	3	8/11/2021	10:14:55 AM	
P03	02.00	3	8/11/2021	10:14:58 AM	
P0E	02.00	3	8/11/2021	10:15:01 AM	
P0B	02.00	3	8/11/2021	10:15:04 AM	
P07	02.00	3	8/11/2021	10:15:08 AM	
P0F	02.00	3	8/11/2021	10:15:11 AM	
P03	02.00	3	8/11/2021	10:49:50 AM	
P08	02.00	3	8/11/2021	10:52:04 AM	
P09	02.00	3	8/11/2021	10:57:00 AM	
P09	02.00	3	8/11/2021	11:00:03 AM	
P0C	02.00	3	8/11/2021	11:00:06 AM	
P03	02.00	3	8/11/2021	11:00:09 AM	
P08	02.00	3	8/11/2021	11:00:13 AM	
P0D	02.00	3	8/11/2021	11:00:16 AM	
P02	02.00	3	8/11/2021	11:00:19 AM	
P0A	02.00	3	8/11/2021	11:00:22 AM	
P0E	02.00	3	8/11/2021	11:00:26 AM	
P01	02.00	3	8/11/2021	11:00:29 AM	
P0B	02.00	3	8/11/2021	11:00:32 AM	
P0C	02.00	3	8/11/2021	11:00:35 AM	
P0F	02.00	3	8/11/2021	11:02:52 AM	
P08	02.00	3	8/11/2021	11:02:55 AM	
P04	02.00	3	8/11/2021	11:02:59 AM	
P0B	02.00	3	8/11/2021	11:03:02 AM	
P0C	02.00	3	8/11/2021	11:03:05 AM	
P01	02.00	3	8/11/2021	11:03:08 AM	
P0A	02.00	3	8/11/2021	11:03:12 AM	
P0D	02.00	3	8/11/2021	11:03:15 AM	
P00	02.00	3	8/11/2021	11:03:18 AM	
P09	02.00	3	8/11/2021	11:03:22 AM	
P0E	02.00	3	8/11/2021	11:03:25 AM	
P03	02.00	3	8/11/2021	11:03:28 AM	
P0B	02.00	3	8/11/2021	11:03:31 AM	
P0F	02.00	3	8/11/2021	11:03:35 AM	
P02	02.00	3	8/11/2021	11:03:38 AM	
P0C	02.00	3	8/11/2021	11:03:41 AM	
P08	02.00	3	8/11/2021	11:03:45 AM	
P05	02.00	3	8/11/2021	11:03:48 AM	
P0D	02.00	3	8/11/2021	11:03:51 AM	
P08	02.00	3	8/11/2021	11:03:54 AM	
P0C	02.00	3	8/11/2021	11:05:47 AM	
P0B	02.00	3	8/11/2021	11:05:51 AM	
P0E	02.00	3	8/11/2021	11:05:54 AM	
P0D	02.00	3	8/11/2021	11:05:57 AM	
P0D	02.00	3	8/11/2021	11:06:01 AM	
P08	02.00	3	8/11/2021	11:06:04 AM	
P0B	02.00	3	8/11/2021	11:06:07 AM	
P0D	02.00	3	8/11/2021	11:06:10 AM	
P09	02.00	3	8/11/2021	11:06:14 AM	
P0A	02.00	3	8/11/2021	11:06:17 AM	
P0E	02.00	3	8/11/2021	11:06:20 AM	
P0D	02.00	3	8/11/2021	11:06:23 AM	
P09	02.00	3	8/11/2021	11:06:27 AM	
P0F	02.00	3	8/11/2021	11:06:30 AM	
P0C	02.00	3	8/11/2021	11:06:33 AM	
P08	02.00	3	8/11/2021	11:06:37 AM	
P08	02.00	3	8/11/2021	11:06:40 AM	
P0B	02.00	3	8/11/2021	11:06:43 AM	
P0E	02.00	3	8/11/2021	11:06:46 AM	
P09	02.00	3	8/11/2021	11:06:50 AM	
P07	02.00	3	8/11/2021	11:10:48 AM	
P0F	02.00	3	8/11/2021	11:10:51 AM	
P0A	02.00	3	8/11/2021	11:10:54 AM	
P06	02.00	3	8/11/2021	11:10:58 AM	
P0B	02.00	3	8/11/2021	11:11:01 AM	
P0E	02.00	3	8/11/2021	11:11:04 AM	
P0D	02.00	3	8/11/2021	11:11:07 AM	
P0A	02.00	3	8/11/2021	11:11:11 AM	
P0F	02.00	3	8/11/2021	11:11:14 AM	
P0C	02.00	3	8/11/2021	11:11:17 AM	
P09	02.00	3	8/11/2021	11:11:21 AM	
