P1E	02.00	3	Date	Time	
P21	02.00	3	6/29/2021	2:09:15 PM	
P2C	02.00	3	6/29/2021	2:09:18 PM	
P25	02.00	3	6/29/2021	2:09:22 PM	
P22	02.00	3	6/29/2021	2:09:25 PM	
P2F	02.00	3	6/29/2021	2:09:28 PM	
P27	02.00	3	6/29/2021	2:09:31 PM	
P23	02.00	3	6/29/2021	2:09:35 PM	
P2E	02.00	3	6/29/2021	2:09:38 PM	
P20	02.00	3	6/29/2021	2:09:41 PM	
P25	02.00	3	6/29/2021	2:09:44 PM	
P29	02.00	3	6/29/2021	2:09:48 PM	
P21	02.00	3	6/29/2021	2:09:51 PM	
P24	02.00	3	6/29/2021	2:09:54 PM	
P27	02.00	3	6/29/2021	2:09:57 PM	
P2C	02.00	3	6/29/2021	2:10:01 PM	
P29	02.00	3	6/29/2021	2:10:04 PM	
P2A	02.00	3	6/29/2021	2:10:07 PM	
P2F	02.00	3	6/29/2021	2:17:41 PM	
P2A	02.00	3	6/29/2021	2:17:44 PM	
P29	02.00	3	6/29/2021	2:17:47 PM	
P2E	02.00	3	6/29/2021	2:17:51 PM	
P2B	02.00	3	6/29/2021	2:17:54 PM	
P28	02.00	3	6/29/2021	2:17:57 PM	
P24	02.00	3	6/29/2021	2:18:01 PM	
P21	02.00	3	6/29/2021	2:18:04 PM	
P22	02.00	3	6/29/2021	2:18:07 PM	
P24	02.00	3	6/29/2021	2:18:10 PM	
P20	02.00	3	6/29/2021	2:18:14 PM	
P2A	02.00	3	6/29/2021	2:25:32 PM	
P2E	02.00	3	6/29/2021	2:25:36 PM	
P21	02.00	3	6/29/2021	2:25:39 PM	
P2D	02.00	3	6/29/2021	2:25:42 PM	
P2A	02.00	3	6/29/2021	2:25:45 PM	
P26	02.00	3	6/29/2021	2:25:49 PM	
P2C	02.00	3	6/29/2021	2:25:52 PM	
P2B	02.00	3	6/29/2021	2:25:55 PM	
P27	02.00	3	6/29/2021	2:25:59 PM	
P2A	02.00	3	6/29/2021	2:26:02 PM	
P2D	02.00	3	6/29/2021	2:26:05 PM	
P28	02.00	3	6/29/2021	2:31:35 PM	
P25	02.00	3	6/29/2021	2:31:38 PM	
P28	02.00	3	6/29/2021	2:31:42 PM	
P2F	02.00	3	6/29/2021	2:31:45 PM	
P22	02.00	3	6/29/2021	2:31:48 PM	
P2A	02.00	3	6/29/2021	2:31:51 PM	
P2E	02.00	3	6/29/2021	2:31:55 PM	
P23	02.00	3	6/29/2021	2:31:58 PM	
P2C	02.00	3	6/29/2021	2:32:01 PM	
P29	02.00	3	6/29/2021	2:32:04 PM	
P25	02.00	3	6/29/2021	2:32:08 PM	
P21	02.00	3	6/29/2021	2:35:38 PM	
P2F	02.00	3	6/29/2021	2:35:41 PM	
P2A	02.00	3	6/29/2021	2:35:44 PM	
P26	02.00	3	6/29/2021	2:35:48 PM	
P2E	02.00	3	6/29/2021	2:35:51 PM	
P2B	02.00	3	6/29/2021	2:35:54 PM	
P27	02.00	3	6/29/2021	2:35:58 PM	
P28	02.00	3	6/29/2021	2:36:01 PM	
