P1E	02.00	3	Date	Time	
P25	02.00	3	7/15/2021	4:03:46 PM	
P2A	02.00	3	7/15/2021	4:03:49 PM	
P20	02.00	3	7/15/2021	4:03:52 PM	
P24	02.00	3	7/15/2021	4:03:56 PM	
P2B	02.00	3	7/15/2021	4:03:59 PM	
P22	02.00	3	7/15/2021	4:04:02 PM	
P26	02.00	3	7/15/2021	4:04:06 PM	
P29	02.00	3	7/15/2021	4:04:09 PM	
P23	02.00	3	7/15/2021	4:04:12 PM	
P24	02.00	3	7/15/2021	4:04:15 PM	
P28	02.00	3	7/15/2021	4:04:19 PM	
P20	02.00	3	7/15/2021	4:04:22 PM	
P27	02.00	3	7/15/2021	4:04:25 PM	
P2A	02.00	3	7/15/2021	4:04:28 PM	
P25	02.00	3	7/15/2021	4:06:52 PM	
P22	02.00	3	7/15/2021	4:06:55 PM	
P2E	02.00	3	7/15/2021	4:06:59 PM	
P21	02.00	3	7/15/2021	4:07:02 PM	
P26	02.00	3	7/15/2021	4:07:05 PM	
P2B	02.00	3	7/15/2021	4:07:08 PM	
P20	02.00	3	7/15/2021	4:07:12 PM	
P27	02.00	3	7/15/2021	4:07:15 PM	
P2A	02.00	3	7/15/2021	4:07:18 PM	
P20	02.00	3	7/15/2021	4:07:21 PM	
P24	02.00	3	7/15/2021	4:07:25 PM	
P2E	02.00	3	7/15/2021	4:09:12 PM	
P29	02.00	3	7/15/2021	4:09:15 PM	
P25	02.00	3	7/15/2021	4:09:19 PM	
P2D	02.00	3	7/15/2021	4:09:22 PM	
P2A	02.00	3	7/15/2021	4:09:25 PM	
P27	02.00	3	7/15/2021	4:09:28 PM	
P2C	02.00	3	7/15/2021	4:09:32 PM	
P2B	02.00	3	7/15/2021	4:09:35 PM	
P26	02.00	3	7/15/2021	4:09:38 PM	
P28	02.00	3	7/15/2021	4:09:41 PM	
P2C	02.00	3	7/15/2021	4:09:45 PM	
P21	02.00	3	7/15/2021	4:09:48 PM	
P29	02.00	3	7/15/2021	4:09:51 PM	
P2D	02.00	3	7/15/2021	4:09:55 PM	
P20	02.00	3	7/15/2021	4:09:58 PM	
P2E	02.00	3	7/15/2021	4:13:08 PM	
P25	02.00	3	7/15/2021	4:13:12 PM	
P22	02.00	3	7/15/2021	4:13:15 PM	
P2F	02.00	3	7/15/2021	4:13:18 PM	
P25	02.00	3	7/15/2021	4:13:21 PM	
P21	02.00	3	7/15/2021	4:13:25 PM	
P2C	02.00	3	7/15/2021	4:13:28 PM	
P24	02.00	3	7/15/2021	4:13:31 PM	
P21	02.00	3	7/15/2021	4:13:34 PM	
P2D	02.00	3	7/15/2021	4:13:38 PM	
P23	02.00	3	7/15/2021	4:13:41 PM	
P26	02.00	3	7/15/2021	4:13:44 PM	
P21	02.00	3	7/15/2021	4:16:20 PM	
P22	02.00	3	7/15/2021	4:16:23 PM	
P26	02.00	3	7/15/2021	4:16:27 PM	
P20	02.00	3	7/15/2021	4:16:30 PM	
P23	02.00	3	7/15/2021	4:16:33 PM	
P26	02.00	3	7/15/2021	4:16:36 PM	
P27	02.00	3	7/15/2021	4:16:40 PM	
P24	02.00	3	7/15/2021	4:16:43 PM	
P21	02.00	3	7/15/2021	4:16:46 PM	
P2E	02.00	3	7/15/2021	4:16:49 PM	
P25	02.00	3	7/15/2021	4:16:53 PM	
P20	02.00	3	7/15/2021	4:16:56 PM	
P2C	02.00	3	7/15/2021	2:49:56 PM	
P27	02.00	3	7/15/2021	2:50:00 PM	
