P1E	02.00	3	Date	Time	
P13	02.00	3	10/22/2021	1:25:52 PM	
P17	02.00	3	10/22/2021	1:25:56 PM	
P18	02.00	3	10/22/2021	1:25:59 PM	
P15	02.00	3	10/22/2021	1:26:02 PM	
P11	02.00	3	10/22/2021	1:26:06 PM	
P1E	02.00	3	10/22/2021	1:26:09 PM	
P14	02.00	3	10/22/2021	1:26:12 PM	
P10	02.00	3	10/22/2021	1:26:16 PM	
P1F	02.00	3	10/22/2021	1:26:19 PM	
P17	02.00	3	10/22/2021	1:26:22 PM	
P10	02.00	3	10/22/2021	1:26:25 PM	
P1C	02.00	3	10/22/2021	1:26:29 PM	
P16	02.00	3	10/22/2021	1:26:32 PM	
P11	02.00	3	10/22/2021	1:26:35 PM	
P1D	02.00	3	10/22/2021	1:26:39 PM	
P11	02.00	3	10/22/2021	1:26:42 PM	
P16	02.00	3	10/22/2021	1:26:45 PM	
P1B	02.00	3	10/22/2021	1:26:48 PM	
P10	02.00	3	10/22/2021	1:26:52 PM	
P17	02.00	3	10/22/2021	1:26:55 PM	
P13	02.00	3	10/22/2021	1:27:50 PM	
P10	02.00	3	10/22/2021	1:27:53 PM	
P14	02.00	3	10/22/2021	1:27:57 PM	
P19	02.00	3	10/22/2021	1:28:00 PM	
P1A	02.00	3	10/22/2021	1:28:03 PM	
P1F	02.00	3	10/22/2021	1:28:06 PM	
P18	02.00	3	10/22/2021	1:28:10 PM	
P1B	02.00	3	10/22/2021	1:28:13 PM	
P1E	02.00	3	10/22/2021	1:28:16 PM	
P1B	02.00	3	10/22/2021	1:28:20 PM	
P18	02.00	3	10/22/2021	1:28:23 PM	
P1D	02.00	3	10/22/2021	1:28:26 PM	
P12	02.00	3	10/22/2021	1:28:29 PM	
P19	02.00	3	10/22/2021	1:28:33 PM	
P1C	02.00	3	10/22/2021	1:28:36 PM	
P13	02.00	3	10/22/2021	1:28:39 PM	
P1F	02.00	3	10/22/2021	1:28:42 PM	
P1B	02.00	3	10/22/2021	1:28:46 PM	
P14	02.00	3	10/22/2021	1:28:49 PM	
P1E	02.00	3	10/22/2021	1:28:52 PM	
P1C	02.00	3	10/22/2021	1:34:19 PM	
P14	02.00	3	10/22/2021	1:34:22 PM	
P10	02.00	3	10/22/2021	1:34:26 PM	
P1F	02.00	3	10/22/2021	1:34:29 PM	
P15	02.00	3	10/22/2021	1:34:32 PM	
P12	02.00	3	10/22/2021	1:34:35 PM	
P1E	02.00	3	10/22/2021	1:34:39 PM	
P12	02.00	3	10/22/2021	1:34:42 PM	
P15	02.00	3	10/22/2021	1:34:45 PM	
P18	02.00	3	10/22/2021	1:34:48 PM	
P13	02.00	3	10/22/2021	1:34:52 PM	
P14	02.00	3	10/22/2021	1:34:55 PM	
P19	02.00	3	10/22/2021	1:34:58 PM	
P17	02.00	3	10/22/2021	1:35:02 PM	
P10	02.00	3	10/22/2021	1:35:05 PM	
P1D	02.00	3	10/22/2021	1:35:08 PM	
P15	02.00	3	10/22/2021	1:35:11 PM	
P11	02.00	3	10/22/2021	1:35:15 PM	
P1C	02.00	3	10/22/2021	1:35:18 PM	
P16	02.00	3	10/22/2021	1:35:21 PM	
P19	02.00	3	10/22/2021	1:38:54 PM	
P1A	02.00	3	10/22/2021	1:38:57 PM	
P18	02.00	3	10/22/2021	1:39:01 PM	
P1D	02.00	3	10/22/2021	1:39:04 PM	
P1E	02.00	3	10/22/2021	1:39:07 PM	
P18	02.00	3	10/22/2021	1:39:10 PM	
P1C	02.00	3	10/22/2021	1:39:14 PM	
P1F	02.00	3	10/22/2021	1:39:17 PM	
P1B	02.00	3	10/22/2021	1:39:20 PM	
P1F	02.00	3	10/22/2021	1:39:24 PM	
P1C	02.00	3	10/22/2021	1:39:27 PM	
P1A	02.00	3	10/22/2021	1:39:30 PM	
P19	02.00	3	10/22/2021	1:39:33 PM	
P1D	02.00	3	10/22/2021	1:39:37 PM	
P1D	02.00	3	10/22/2021	1:39:40 PM	
P1E	02.00	3	10/22/2021	1:39:43 PM	
P1A	02.00	3	10/22/2021	1:39:47 PM	
P1C	02.00	3	10/22/2021	1:39:50 PM	
P1F	02.00	3	10/22/2021	1:39:53 PM	
P1A	02.00	3	10/22/2021	1:39:56 PM	
P17	02.00	3	10/22/2021	1:41:45 PM	
P1A	02.00	3	10/22/2021	1:41:48 PM	
P11	02.00	3	10/22/2021	1:41:52 PM	
P16	02.00	3	10/22/2021	1:41:55 PM	
P1B	02.00	3	10/22/2021	1:41:58 PM	
P14	02.00	3	10/22/2021	1:42:01 PM	
P10	02.00	3	10/22/2021	1:42:05 PM	
P1D	02.00	3	10/22/2021	1:42:08 PM	
P15	02.00	3	10/22/2021	1:42:11 PM	
P11	02.00	3	10/22/2021	1:42:15 PM	
P1C	02.00	3	10/22/2021	1:42:18 PM	
P16	02.00	3	10/22/2021	1:42:21 PM	
P13	02.00	3	10/22/2021	1:42:24 PM	
P1F	02.00	3	10/22/2021	1:42:28 PM	
P17	02.00	3	10/22/2021	1:42:31 PM	
P12	02.00	3	10/22/2021	1:42:34 PM	
P1E	02.00	3	10/22/2021	1:42:38 PM	
P10	02.00	3	10/22/2021	1:42:41 PM	
P15	02.00	3	10/22/2021	1:42:44 PM	
P16	02.00	3	10/22/2021	1:42:47 PM	
P12	02.00	3	10/22/2021	1:44:54 PM	
P11	02.00	3	10/22/2021	1:44:57 PM	
P12	02.00	3	10/22/2021	1:45:00 PM	
P16	02.00	3	10/22/2021	1:45:04 PM	
P15	02.00	3	10/22/2021	1:45:07 PM	
P13	02.00	3	10/22/2021	1:45:10 PM	
P17	02.00	3	10/22/2021	1:45:14 PM	
P14	02.00	3	10/22/2021	1:45:17 PM	
P10	02.00	3	10/22/2021	1:45:20 PM	
P13	02.00	3	10/22/2021	1:45:23 PM	
P17	02.00	3	10/22/2021	1:45:27 PM	
P11	02.00	3	10/22/2021	1:45:30 PM	
P12	02.00	3	10/22/2021	1:45:33 PM	
P16	02.00	3	10/22/2021	1:45:37 PM	
P16	02.00	3	10/22/2021	1:45:40 PM	
P15	02.00	3	10/22/2021	1:45:43 PM	
P10	02.00	3	10/22/2021	1:45:46 PM	
P17	02.00	3	10/22/2021	1:45:50 PM	
P14	02.00	3	10/22/2021	1:45:53 PM	
P11	02.00	3	10/22/2021	1:45:56 PM	
P15	02.00	3	10/22/2021	1:50:03 PM	
P10	02.00	3	10/22/2021	1:50:06 PM	
P17	02.00	3	10/22/2021	1:50:10 PM	
P14	02.00	3	10/22/2021	1:50:13 PM	
P11	02.00	3	10/22/2021	1:50:16 PM	
P14	02.00	3	10/22/2021	1:50:20 PM	
P17	02.00	3	10/22/2021	1:50:23 PM	
P12	02.00	3	10/22/2021	1:50:26 PM	
P1D	02.00	3	10/22/2021	1:50:29 PM	
P16	02.00	3	10/22/2021	1:50:33 PM	
P13	02.00	3	10/22/2021	1:50:36 PM	
P1C	02.00	3	10/22/2021	1:50:39 PM	
P11	02.00	3	10/22/2021	1:50:43 PM	
P14	02.00	3	10/22/2021	1:50:46 PM	
P1B	02.00	3	10/22/2021	1:50:49 PM	
P11	02.00	3	10/22/2021	1:50:52 PM	
P15	02.00	3	10/22/2021	1:50:56 PM	
P1A	02.00	3	10/22/2021	1:50:59 PM	
P15	02.00	3	10/22/2021	1:51:02 PM	
P12	02.00	3	10/22/2021	1:51:05 PM	
P11	02.00	3	10/22/2021	1:52:50 PM	
P15	02.00	3	10/22/2021	1:52:54 PM	
P16	02.00	3	10/22/2021	1:52:57 PM	
P15	02.00	3	10/22/2021	1:53:00 PM	
P16	02.00	3	10/22/2021	1:53:03 PM	
P12	02.00	3	10/22/2021	1:53:07 PM	
P14	02.00	3	10/22/2021	1:53:10 PM	
P17	02.00	3	10/22/2021	1:53:13 PM	
P13	02.00	3	10/22/2021	1:53:17 PM	
P17	02.00	3	10/22/2021	1:53:20 PM	
P14	02.00	3	10/22/2021	1:53:23 PM	
P11	02.00	3	10/22/2021	1:53:26 PM	
P16	02.00	3	10/22/2021	1:53:30 PM	
P15	02.00	3	10/22/2021	1:53:33 PM	
P10	02.00	3	10/22/2021	1:53:36 PM	
P1F	02.00	3	10/22/2021	1:53:39 PM	
P12	02.00	3	10/22/2021	1:53:43 PM	
P17	02.00	3	10/22/2021	1:53:46 PM	
P18	02.00	3	10/22/2021	1:53:49 PM	
P13	02.00	3	10/22/2021	1:53:53 PM	
P1E	02.00	3	10/22/2021	1:55:58 PM	
P12	02.00	3	10/22/2021	1:56:02 PM	
P15	02.00	3	10/22/2021	1:56:05 PM	
P18	02.00	3	10/22/2021	1:56:08 PM	
P10	02.00	3	10/22/2021	1:56:11 PM	
P14	02.00	3	10/22/2021	1:56:15 PM	
P19	02.00	3	10/22/2021	1:56:18 PM	
P13	02.00	3	10/22/2021	1:56:21 PM	
P16	02.00	3	10/22/2021	1:56:24 PM	
P1A	02.00	3	10/22/2021	1:56:28 PM	
P12	02.00	3	10/22/2021	1:56:31 PM	
P17	02.00	3	10/22/2021	1:56:34 PM	
P1B	02.00	3	10/22/2021	1:56:38 PM	
P15	02.00	3	10/22/2021	1:56:41 PM	
P10	02.00	3	10/22/2021	1:56:44 PM	
P13	02.00	3	10/22/2021	1:56:47 PM	
P14	02.00	3	10/22/2021	1:56:51 PM	
P11	02.00	3	10/22/2021	1:56:54 PM	
P12	02.00	3	10/22/2021	1:56:57 PM	
P11	02.00	3	10/22/2021	1:57:00 PM	
P1A	02.00	3	10/22/2021	2:09:56 PM	
P11	02.00	3	10/22/2021	2:10:00 PM	
P12	02.00	3	10/22/2021	2:10:03 PM	
P17	02.00	3	10/22/2021	2:10:06 PM	
P18	02.00	3	10/22/2021	2:10:09 PM	
P13	02.00	3	10/22/2021	2:10:13 PM	
P16	02.00	3	10/22/2021	2:10:16 PM	
P19	02.00	3	10/22/2021	2:10:19 PM	
P10	02.00	3	10/22/2021	2:10:23 PM	
P15	02.00	3	10/22/2021	2:10:26 PM	
P1A	02.00	3	10/22/2021	2:10:29 PM	
P10	02.00	3	10/22/2021	2:10:32 PM	
P14	02.00	3	10/22/2021	2:10:36 PM	
P1B	02.00	3	10/22/2021	2:10:39 PM	
P17	02.00	3	10/22/2021	2:10:42 PM	
P13	02.00	3	10/22/2021	2:10:46 PM	
P1C	02.00	3	10/22/2021	2:10:49 PM	
P16	02.00	3	10/22/2021	2:10:52 PM	
P11	02.00	3	10/22/2021	2:10:55 PM	
P1D	02.00	3	10/22/2021	2:10:59 PM	
P1F	02.00	3	10/22/2021	2:16:08 PM	
P17	02.00	3	10/22/2021	2:16:11 PM	
P12	02.00	3	10/22/2021	2:16:14 PM	
P1E	02.00	3	10/22/2021	2:16:18 PM	
P14	02.00	3	10/22/2021	2:16:21 PM	
P11	02.00	3	10/22/2021	2:16:24 PM	
P1D	02.00	3	10/22/2021	2:16:28 PM	
P15	02.00	3	10/22/2021	2:16:31 PM	
P10	02.00	3	10/22/2021	2:16:34 PM	
P13	02.00	3	10/22/2021	2:16:37 PM	
P12	02.00	3	10/22/2021	2:16:41 PM	
P17	02.00	3	10/22/2021	2:16:44 PM	
P14	02.00	3	10/22/2021	2:16:47 PM	
P12	02.00	3	10/22/2021	2:16:50 PM	
