P1E	02.00	3	Date	Time	
P04	02.00	3	8/26/2021	11:16:58 AM	
P0A	02.00	3	8/26/2021	11:17:02 AM	
P0D	02.00	3	8/26/2021	11:17:05 AM	
P01	02.00	3	8/26/2021	11:17:09 AM	
P0B	02.00	3	8/26/2021	11:17:12 AM	
P0C	02.00	3	8/26/2021	11:17:15 AM	
P01	02.00	3	8/26/2021	11:17:18 AM	
P08	02.00	3	8/26/2021	11:17:22 AM	
P0F	02.00	3	8/26/2021	11:17:25 AM	
P02	02.00	3	8/26/2021	11:17:28 AM	
P09	02.00	3	8/26/2021	11:17:32 AM	
P0E	02.00	3	8/26/2021	11:17:35 AM	
P03	02.00	3	8/26/2021	11:17:38 AM	
P0D	02.00	3	8/26/2021	11:17:41 AM	
P09	02.00	3	8/26/2021	11:17:45 AM	
P04	02.00	3	8/26/2021	11:17:48 AM	
P0C	02.00	3	8/26/2021	11:17:51 AM	
P09	02.00	3	8/26/2021	11:17:54 AM	
P05	02.00	3	8/26/2021	11:17:58 AM	
P06	02.00	3	8/26/2021	11:18:01 AM	
P08	02.00	3	8/26/2021	11:21:36 AM	
P07	02.00	3	8/26/2021	11:21:39 AM	
P0A	02.00	3	8/26/2021	11:21:43 AM	
P0F	02.00	3	8/26/2021	11:21:46 AM	
P00	02.00	3	8/26/2021	11:21:49 AM	
P0B	02.00	3	8/26/2021	11:21:53 AM	
P0E	02.00	3	8/26/2021	11:21:56 AM	
P01	02.00	3	8/26/2021	11:21:59 AM	
P0C	02.00	3	8/26/2021	11:22:02 AM	
P08	02.00	3	8/26/2021	11:22:06 AM	
P07	02.00	3	8/26/2021	11:22:09 AM	
P0D	02.00	3	8/26/2021	11:22:12 AM	
P0A	02.00	3	8/26/2021	11:22:15 AM	
P06	02.00	3	8/26/2021	11:22:19 AM	
P0E	02.00	3	8/26/2021	11:22:22 AM	
P09	02.00	3	8/26/2021	11:22:25 AM	
P05	02.00	3	8/26/2021	11:22:29 AM	
P0F	02.00	3	8/26/2021	11:22:32 AM	
P08	02.00	3	8/26/2021	11:22:35 AM	
P05	02.00	3	8/26/2021	11:22:38 AM	
P0C	02.00	3	8/26/2021	11:25:41 AM	
P08	02.00	3	8/26/2021	11:25:45 AM	
P05	02.00	3	8/26/2021	11:25:48 AM	
P0D	02.00	3	8/26/2021	11:25:51 AM	
P08	02.00	3	8/26/2021	11:25:54 AM	
P04	02.00	3	8/26/2021	11:25:58 AM	
P0B	02.00	3	8/26/2021	11:26:01 AM	
P0E	02.00	3	8/26/2021	11:26:04 AM	
P0D	02.00	3	8/26/2021	11:26:07 AM	
P0A	02.00	3	8/26/2021	11:26:11 AM	
P0F	02.00	3	8/26/2021	11:26:14 AM	
P0C	02.00	3	8/26/2021	11:26:17 AM	
P09	02.00	3	8/26/2021	11:26:21 AM	
P0C	02.00	3	8/26/2021	11:26:24 AM	
P0F	02.00	3	8/26/2021	11:26:27 AM	
P09	02.00	3	8/26/2021	11:26:30 AM	
P0D	02.00	3	8/26/2021	11:26:34 AM	
P0E	02.00	3	8/26/2021	11:26:37 AM	
P0E	02.00	3	8/26/2021	11:26:40 AM	
P0D	02.00	3	8/26/2021	11:26:43 AM	
P08	02.00	3	8/26/2021	11:29:58 AM	
P0F	02.00	3	8/26/2021	11:30:02 AM	
P08	02.00	3	8/26/2021	11:30:05 AM	
P05	02.00	3	8/26/2021	11:30:08 AM	
P0D	02.00	3	8/26/2021	11:30:11 AM	
P09	02.00	3	8/26/2021	11:30:15 AM	
P04	02.00	3	8/26/2021	11:30:18 AM	
P0E	02.00	3	8/26/2021	11:30:21 AM	
P0A	02.00	3	8/26/2021	11:30:25 AM	
P07	02.00	3	8/26/2021	11:30:28 AM	
P0F	02.00	3	8/26/2021	11:30:31 AM	
P0A	02.00	3	8/26/2021	11:30:34 AM	
P06	02.00	3	8/26/2021	11:30:38 AM	
P08	02.00	3	8/26/2021	11:30:41 AM	
P0D	02.00	3	8/26/2021	11:30:44 AM	
P01	02.00	3	8/26/2021	11:30:48 AM	
P09	02.00	3	8/26/2021	11:30:51 AM	
P0C	02.00	3	8/26/2021	11:30:54 AM	
P0F	02.00	3	8/26/2021	11:30:57 AM	
P0D	02.00	3	8/26/2021	11:31:01 AM	
P0F	02.00	3	8/26/2021	11:48:49 AM	
P05	02.00	3	8/26/2021	11:48:52 AM	
P01	02.00	3	8/26/2021	11:48:56 AM	
P0E	02.00	3	8/26/2021	11:48:59 AM	
P01	02.00	3	8/26/2021	11:49:02 AM	
P06	02.00	3	8/26/2021	11:49:05 AM	
P0A	02.00	3	8/26/2021	11:49:09 AM	
P00	02.00	3	8/26/2021	11:49:12 AM	
P07	02.00	3	8/26/2021	11:49:15 AM	
P0B	02.00	3	8/26/2021	11:49:19 AM	
P03	02.00	3	8/26/2021	11:49:22 AM	
P04	02.00	3	8/26/2021	11:49:25 AM	
P09	02.00	3	8/26/2021	11:49:28 AM	
P02	02.00	3	8/26/2021	11:49:32 AM	
P05	02.00	3	8/26/2021	11:49:35 AM	
P08	02.00	3	8/26/2021	11:49:38 AM	
P06	02.00	3	8/26/2021	11:49:41 AM	
P02	02.00	3	8/26/2021	11:49:45 AM	
P0F	02.00	3	8/26/2021	11:49:48 AM	
P07	02.00	3	8/26/2021	11:49:51 AM	
P0A	02.00	3	8/26/2021	11:52:21 AM	
P0E	02.00	3	8/26/2021	11:52:25 AM	
P03	02.00	3	8/26/2021	11:52:28 AM	
P0B	02.00	3	8/26/2021	11:52:31 AM	
P0F	02.00	3	8/26/2021	11:52:35 AM	
P02	02.00	3	8/26/2021	11:52:38 AM	
P0C	02.00	3	8/26/2021	11:52:41 AM	
P09	02.00	3	8/26/2021	11:52:44 AM	
P05	02.00	3	8/26/2021	11:52:48 AM	
P0D	02.00	3	8/26/2021	11:52:51 AM	
P08	02.00	3	8/26/2021	11:52:54 AM	
P0B	02.00	3	8/26/2021	11:52:57 AM	
P09	02.00	3	8/26/2021	11:53:01 AM	
P0C	02.00	3	8/26/2021	11:53:04 AM	
P0F	02.00	3	8/26/2021	11:53:07 AM	
P08	02.00	3	8/26/2021	11:53:11 AM	
P0D	02.00	3	8/26/2021	11:53:14 AM	
P0E	02.00	3	8/26/2021	11:53:17 AM	
P0A	02.00	3	8/26/2021	11:53:20 AM	
P0E	02.00	3	8/26/2021	11:53:24 AM	
P05	02.00	3	8/26/2021	11:54:39 AM	
P09	02.00	3	8/26/2021	11:54:42 AM	
