P1E	02.00	3	Date	Time	
P25	02.00	3	8/18/2021	1:23:07 PM	
P23	02.00	3	8/18/2021	1:23:10 PM	
P27	02.00	3	8/18/2021	1:23:14 PM	
P24	02.00	3	8/18/2021	1:23:17 PM	
P20	02.00	3	8/18/2021	1:23:20 PM	
P23	02.00	3	8/18/2021	1:23:23 PM	
P27	02.00	3	8/18/2021	1:23:27 PM	
P21	02.00	3	8/18/2021	1:23:30 PM	
P22	02.00	3	8/18/2021	1:23:33 PM	
P26	02.00	3	8/18/2021	1:23:37 PM	
P26	02.00	3	8/18/2021	1:23:40 PM	
P25	02.00	3	8/18/2021	1:23:43 PM	
P20	02.00	3	8/18/2021	1:23:46 PM	
P27	02.00	3	8/18/2021	1:23:50 PM	
P24	02.00	3	8/18/2021	1:23:53 PM	
P21	02.00	3	8/18/2021	1:23:56 PM	
P25	02.00	3	8/18/2021	1:24:00 PM	
P26	02.00	3	8/18/2021	1:24:03 PM	
P23	02.00	3	8/18/2021	1:24:06 PM	
P2C	02.00	3	8/18/2021	1:24:09 PM	
P26	02.00	3	8/18/2021	1:26:32 PM	
P21	02.00	3	8/18/2021	1:26:35 PM	
P2D	02.00	3	8/18/2021	1:26:39 PM	
P21	02.00	3	8/18/2021	1:26:42 PM	
P26	02.00	3	8/18/2021	1:26:45 PM	
P2B	02.00	3	8/18/2021	1:26:48 PM	
P20	02.00	3	8/18/2021	1:26:52 PM	
P27	02.00	3	8/18/2021	1:26:55 PM	
P2A	02.00	3	8/18/2021	1:26:58 PM	
P24	02.00	3	8/18/2021	1:27:02 PM	
P23	02.00	3	8/18/2021	1:27:05 PM	
P2E	02.00	3	8/18/2021	1:27:08 PM	
P26	02.00	3	8/18/2021	1:27:11 PM	
P28	02.00	3	8/18/2021	1:28:54 PM	
P24	02.00	3	8/18/2021	1:28:58 PM	
P29	02.00	3	8/18/2021	1:29:01 PM	
P2C	02.00	3	8/18/2021	1:29:04 PM	
P20	02.00	3	8/18/2021	1:29:08 PM	
P28	02.00	3	8/18/2021	1:29:11 PM	
P2D	02.00	3	8/18/2021	1:29:14 PM	
P21	02.00	3	8/18/2021	1:29:18 PM	
P2B	02.00	3	8/18/2021	1:29:21 PM	
P2E	02.00	3	8/18/2021	1:29:24 PM	
P2D	02.00	3	8/18/2021	1:29:27 PM	
P2A	02.00	3	8/18/2021	1:29:31 PM	
P2F	02.00	3	8/18/2021	1:29:34 PM	
P20	02.00	3	8/18/2021	1:31:23 PM	
P24	02.00	3	8/18/2021	1:31:27 PM	
P22	02.00	3	8/18/2021	1:31:30 PM	
P21	02.00	3	8/18/2021	1:31:33 PM	
P25	02.00	3	8/18/2021	1:31:37 PM	
P25	02.00	3	8/18/2021	1:31:40 PM	
P26	02.00	3	8/18/2021	1:31:43 PM	
P22	02.00	3	8/18/2021	1:31:47 PM	
P24	02.00	3	8/18/2021	1:31:50 PM	
P27	02.00	3	8/18/2021	1:31:53 PM	
P22	02.00	3	8/18/2021	1:31:56 PM	
P22	02.00	3	8/18/2021	1:32:00 PM	
P21	02.00	3	8/18/2021	1:32:03 PM	
P29	02.00	3	8/18/2021	1:33:39 PM	
P25	02.00	3	8/18/2021	1:33:42 PM	
P21	02.00	3	8/18/2021	1:33:46 PM	
P2E	02.00	3	8/18/2021	1:33:49 PM	
P24	02.00	3	8/18/2021	1:33:52 PM	
P23	02.00	3	8/18/2021	1:33:55 PM	
P2F	02.00	3	8/18/2021	1:33:59 PM	
P26	02.00	3	8/18/2021	1:34:02 PM	
P21	02.00	3	8/18/2021	1:34:05 PM	
P2D	02.00	3	8/18/2021	1:34:09 PM	
P27	02.00	3	8/18/2021	1:34:12 PM	
P20	02.00	3	8/18/2021	1:34:15 PM	
P2D	02.00	3	8/18/2021	1:34:18 PM	
P24	02.00	3	8/18/2021	1:36:20 PM	
P27	02.00	3	8/18/2021	1:36:23 PM	
P23	02.00	3	8/18/2021	1:36:27 PM	
P25	02.00	3	8/18/2021	1:36:30 PM	
P26	02.00	3	8/18/2021	1:36:33 PM	
P23	02.00	3	8/18/2021	1:36:36 PM	
P22	02.00	3	8/18/2021	1:36:40 PM	
P21	02.00	3	8/18/2021	1:36:43 PM	
P24	02.00	3	8/18/2021	1:36:46 PM	
P2B	02.00	3	8/18/2021	1:36:49 PM	
P20	02.00	3	8/18/2021	1:36:53 PM	
P25	02.00	3	8/18/2021	1:36:56 PM	
P2A	02.00	3	8/18/2021	1:36:59 PM	
P2F	02.00	3	8/18/2021	1:39:17 PM	
P2A	02.00	3	8/18/2021	1:39:21 PM	
P2F	02.00	3	8/18/2021	1:39:24 PM	
P2C	02.00	3	8/18/2021	1:39:27 PM	
