P1E	02.00	3	Date	Time	
P2E	02.00	3	8/19/2021	3:21:49 PM	
P24	02.00	3	8/19/2021	3:21:52 PM	
P20	02.00	3	8/19/2021	3:21:56 PM	
P2F	02.00	3	8/19/2021	3:21:59 PM	
P22	02.00	3	8/19/2021	3:22:02 PM	
P26	02.00	3	8/19/2021	3:22:06 PM	
P29	02.00	3	8/19/2021	3:22:09 PM	
P23	02.00	3	8/19/2021	3:22:12 PM	
P24	02.00	3	8/19/2021	3:22:15 PM	
P28	02.00	3	8/19/2021	3:22:19 PM	
P20	02.00	3	8/19/2021	3:22:22 PM	
P27	02.00	3	8/19/2021	3:22:25 PM	
P2A	02.00	3	8/19/2021	3:22:28 PM	
P21	02.00	3	8/19/2021	3:22:32 PM	
P26	02.00	3	8/19/2021	3:22:35 PM	
P2B	02.00	3	8/19/2021	3:22:38 PM	
P25	02.00	3	8/19/2021	3:22:41 PM	
P21	02.00	3	8/19/2021	3:22:45 PM	
P2C	02.00	3	8/19/2021	3:22:48 PM	
P24	02.00	3	8/19/2021	3:22:51 PM	
P2F	02.00	3	8/19/2021	3:24:18 PM	
P25	02.00	3	8/19/2021	3:24:21 PM	
P21	02.00	3	8/19/2021	3:24:25 PM	
P2C	02.00	3	8/19/2021	3:24:28 PM	
P24	02.00	3	8/19/2021	3:24:31 PM	
P21	02.00	3	8/19/2021	3:24:34 PM	
P2D	02.00	3	8/19/2021	3:24:38 PM	
P23	02.00	3	8/19/2021	3:24:41 PM	
P26	02.00	3	8/19/2021	3:24:44 PM	
P25	02.00	3	8/19/2021	3:24:47 PM	
P22	02.00	3	8/19/2021	3:24:51 PM	
P27	02.00	3	8/19/2021	3:24:54 PM	
P24	02.00	3	8/19/2021	3:24:57 PM	
P26	02.00	3	8/19/2021	3:25:01 PM	
P23	02.00	3	8/19/2021	3:25:04 PM	
P20	02.00	3	8/19/2021	3:25:07 PM	
P26	02.00	3	8/19/2021	3:25:10 PM	
P22	02.00	3	8/19/2021	3:25:14 PM	
P21	02.00	3	8/19/2021	3:25:17 PM	
P25	02.00	3	8/19/2021	3:25:20 PM	
P21	02.00	3	8/19/2021	3:28:38 PM	
P2F	02.00	3	8/19/2021	3:28:41 PM	
P2A	02.00	3	8/19/2021	3:28:44 PM	
