P1E	02.00	3	Date	Time	
P19	02.00	3	6/9/2021	1:47:07 PM	
P1F	02.00	3	6/9/2021	1:47:10 PM	
P1B	02.00	3	6/9/2021	1:47:14 PM	
P18	02.00	3	6/9/2021	1:47:17 PM	
P1C	02.00	3	6/9/2021	1:47:20 PM	
P1F	02.00	3	6/9/2021	1:47:23 PM	
P1B	02.00	3	6/9/2021	1:47:27 PM	
P1D	02.00	3	6/9/2021	1:47:30 PM	
P1E	02.00	3	6/9/2021	1:47:33 PM	
P1B	02.00	3	6/9/2021	1:47:36 PM	
P1A	02.00	3	6/9/2021	1:47:40 PM	
P19	02.00	3	6/9/2021	1:47:43 PM	
P1C	02.00	3	6/9/2021	1:47:46 PM	
P11	02.00	3	6/9/2021	1:49:54 PM	
P12	02.00	3	6/9/2021	1:49:57 PM	
P18	02.00	3	6/9/2021	1:50:00 PM	
P1C	02.00	3	6/9/2021	1:50:04 PM	
P1F	02.00	3	6/9/2021	1:50:07 PM	
P19	02.00	3	6/9/2021	1:50:10 PM	
P1A	02.00	3	6/9/2021	1:50:13 PM	
P1E	02.00	3	6/9/2021	1:50:17 PM	
P1A	02.00	3	6/9/2021	1:50:20 PM	
P19	02.00	3	6/9/2021	1:50:23 PM	
P1C	02.00	3	6/9/2021	1:50:26 PM	
P1B	02.00	3	6/9/2021	1:50:30 PM	
P18	02.00	3	6/9/2021	1:50:33 PM	
P15	02.00	3	6/9/2021	1:54:18 PM	
P1F	02.00	3	6/9/2021	1:54:21 PM	
P1B	02.00	3	6/9/2021	1:54:25 PM	
P16	02.00	3	6/9/2021	1:54:28 PM	
P1E	02.00	3	6/9/2021	1:54:31 PM	
P1B	02.00	3	6/9/2021	1:54:34 PM	
P17	02.00	3	6/9/2021	1:54:38 PM	
P19	02.00	3	6/9/2021	1:54:41 PM	
P1C	02.00	3	6/9/2021	1:54:44 PM	
P1F	02.00	3	6/9/2021	1:54:47 PM	
P18	02.00	3	6/9/2021	1:54:51 PM	
P1D	02.00	3	6/9/2021	1:54:54 PM	
P1E	02.00	3	6/9/2021	1:54:57 PM	
P1C	02.00	3	6/9/2021	1:57:30 PM	
P18	02.00	3	6/9/2021	1:57:34 PM	
P1B	02.00	3	6/9/2021	1:57:37 PM	
P1B	02.00	3	6/9/2021	1:57:40 PM	
P1F	02.00	3	6/9/2021	1:57:44 PM	
P1C	02.00	3	6/9/2021	1:57:47 PM	
P1A	02.00	3	6/9/2021	1:57:50 PM	
P19	02.00	3	6/9/2021	1:57:53 PM	
P1D	02.00	3	6/9/2021	1:57:57 PM	
P10	02.00	3	6/9/2021	1:58:00 PM	
P13	02.00	3	6/9/2021	1:58:03 PM	
P16	02.00	3	6/9/2021	1:58:06 PM	
P11	02.00	3	6/9/2021	1:58:10 PM	
P1D	02.00	3	6/9/2021	2:00:12 PM	
P1A	02.00	3	6/9/2021	2:00:15 PM	
P16	02.00	3	6/9/2021	2:00:19 PM	
P1E	02.00	3	6/9/2021	2:00:22 PM	
P19	02.00	3	6/9/2021	2:00:25 PM	
P14	02.00	3	6/9/2021	2:00:28 PM	
P1F	02.00	3	6/9/2021	2:00:32 PM	
P18	02.00	3	6/9/2021	2:00:35 PM	
P15	02.00	3	6/9/2021	2:00:38 PM	
P1B	02.00	3	6/9/2021	2:00:41 PM	
P1F	02.00	3	6/9/2021	2:00:45 PM	
P12	02.00	3	6/9/2021	2:00:48 PM	
P1A	02.00	3	6/9/2021	2:00:51 PM	
P18	02.00	3	6/9/2021	2:03:27 PM	
P1F	02.00	3	6/9/2021	2:03:31 PM	
P1A	02.00	3	6/9/2021	2:03:34 PM	
P19	02.00	3	6/9/2021	2:03:37 PM	
P19	02.00	3	6/9/2021	2:03:40 PM	
P1D	02.00	3	6/9/2021	2:03:44 PM	
P1E	02.00	3	6/9/2021	2:03:47 PM	
P18	02.00	3	6/9/2021	2:03:50 PM	
P1B	02.00	3	6/9/2021	2:03:53 PM	
P1F	02.00	3	6/9/2021	2:03:57 PM	
P1A	02.00	3	6/9/2021	2:04:00 PM	
P19	02.00	3	6/9/2021	2:04:03 PM	
P1C	02.00	3	6/9/2021	2:04:06 PM	
P18	02.00	3	6/9/2021	2:06:44 PM	
P14	02.00	3	6/9/2021	2:06:48 PM	
P1C	02.00	3	6/9/2021	2:06:51 PM	
P19	02.00	3	6/9/2021	2:06:54 PM	
P15	02.00	3	6/9/2021	2:06:58 PM	
P18	02.00	3	6/9/2021	2:07:01 PM	
P1D	02.00	3	6/9/2021	2:07:04 PM	
P1E	02.00	3	6/9/2021	2:07:07 PM	
P19	02.00	3	6/9/2021	2:07:11 PM	
P1C	02.00	3	6/9/2021	2:07:14 PM	
P1F	02.00	3	6/9/2021	2:07:17 PM	
P1B	02.00	3	6/9/2021	2:07:20 PM	
P1F	02.00	3	6/9/2021	2:07:24 PM	
P13	02.00	3	6/9/2021	2:09:37 PM	
P12	02.00	3	6/9/2021	2:09:41 PM	
P17	02.00	3	6/9/2021	2:09:44 PM	
P14	02.00	3	6/9/2021	2:09:47 PM	
P12	02.00	3	6/9/2021	2:09:50 PM	
P16	02.00	3	6/9/2021	2:09:54 PM	
P15	02.00	3	6/9/2021	2:09:57 PM	
P1F	02.00	3	6/9/2021	2:10:00 PM	
P1B	02.00	3	6/9/2021	2:10:04 PM	
P18	02.00	3	6/9/2021	2:10:07 PM	
P1E	02.00	3	6/9/2021	2:10:10 PM	
P1D	02.00	3	6/9/2021	2:10:13 PM	
P19	02.00	3	6/9/2021	2:10:17 PM	
P14	02.00	3	6/9/2021	2:12:18 PM	
P1D	02.00	3	6/9/2021	2:12:22 PM	
P1A	02.00	3	6/9/2021	2:12:25 PM	
P17	02.00	3	6/9/2021	2:12:28 PM	
P1C	02.00	3	6/9/2021	2:12:32 PM	
P1B	02.00	3	6/9/2021	2:15:01 PM	
P1E	02.00	3	6/9/2021	2:15:04 PM	
