P1E	02.00	3	Date	Time	
P2A	02.00	3	6/25/2021	4:59:11 PM	
P2E	02.00	3	6/25/2021	4:59:15 PM	
P23	02.00	3	6/25/2021	4:59:18 PM	
P29	02.00	3	6/25/2021	4:59:21 PM	
P2D	02.00	3	6/25/2021	4:59:25 PM	
P20	02.00	3	6/25/2021	4:59:28 PM	
P28	02.00	3	6/25/2021	4:59:31 PM	
P2D	02.00	3	6/25/2021	4:59:34 PM	
P21	02.00	3	6/25/2021	4:59:38 PM	
P2F	02.00	3	6/25/2021	4:59:41 PM	
P2A	02.00	3	6/25/2021	4:59:44 PM	
P26	02.00	3	6/25/2021	4:59:48 PM	
P2E	02.00	3	6/25/2021	4:59:51 PM	
P2B	02.00	3	6/25/2021	4:59:54 PM	
P28	02.00	3	6/25/2021	4:59:57 PM	
P26	02.00	3	6/25/2021	5:00:01 PM	
P23	02.00	3	6/25/2021	5:00:04 PM	
P20	02.00	3	6/25/2021	5:00:07 PM	
P26	02.00	3	6/25/2021	5:00:10 PM	
P22	02.00	3	6/25/2021	5:00:14 PM	
P27	02.00	3	6/25/2021	5:02:20 PM	
P24	02.00	3	6/25/2021	5:02:23 PM	
P21	02.00	3	6/25/2021	5:02:26 PM	
P26	02.00	3	6/25/2021	5:02:30 PM	
P25	02.00	3	6/25/2021	5:02:33 PM	
P20	02.00	3	6/25/2021	5:02:36 PM	
P21	02.00	3	6/25/2021	5:02:40 PM	
P22	02.00	3	6/25/2021	5:02:43 PM	
P27	02.00	3	6/25/2021	5:02:46 PM	
P28	02.00	3	6/25/2021	5:02:49 PM	
P23	02.00	3	6/25/2021	5:02:53 PM	
P26	02.00	3	6/25/2021	5:02:56 PM	
P29	02.00	3	6/25/2021	5:02:59 PM	
P26	02.00	3	6/25/2021	5:03:02 PM	
P22	02.00	3	6/25/2021	5:03:06 PM	
P2D	02.00	3	6/25/2021	5:03:09 PM	
P27	02.00	3	6/25/2021	5:03:12 PM	
P20	02.00	3	6/25/2021	5:03:15 PM	
P2C	02.00	3	6/25/2021	5:03:19 PM	
P24	02.00	3	6/25/2021	5:03:22 PM	
P2D	02.00	3	6/25/2021	5:11:39 PM	
