P1E	02.00	3	Date	Time	
P3C	02.00	3	6/28/2021	9:59:07 AM	
P3A	02.00	3	6/28/2021	9:59:10 AM	
P39	02.00	3	6/28/2021	9:59:13 AM	
P3C	02.00	3	6/28/2021	9:59:16 AM	
P33	02.00	3	6/28/2021	9:59:19 AM	
P3A	02.00	3	6/28/2021	9:59:23 AM	
P3F	02.00	3	6/28/2021	9:59:26 AM	
P30	02.00	3	6/28/2021	9:59:29 AM	
P3A	02.00	3	6/28/2021	9:59:32 AM	
P3E	02.00	3	6/28/2021	9:59:36 AM	
P31	02.00	3	6/28/2021	9:59:39 AM	
P3D	02.00	3	6/28/2021	9:59:42 AM	
P39	02.00	3	6/28/2021	9:59:46 AM	
P36	02.00	3	6/28/2021	9:59:49 AM	
P3C	02.00	3	6/28/2021	9:59:52 AM	
P3B	02.00	3	6/28/2021	9:59:55 AM	
P37	02.00	3	6/28/2021	9:59:59 AM	
P0D	02.00	3	6/28/2021	10:00:02 AM	
P0A	02.00	3	6/28/2021	10:00:05 AM	
P07	02.00	3	6/28/2021	10:00:08 AM	
P0C	02.00	3	6/28/2021	10:00:12 AM	
P0B	02.00	3	6/28/2021	10:00:15 AM	
P06	02.00	3	6/28/2021	10:00:18 AM	
P0C	02.00	3	6/28/2021	10:00:21 AM	
P08	02.00	3	6/28/2021	10:00:25 AM	
P05	02.00	3	6/28/2021	10:00:28 AM	
P0D	02.00	3	6/28/2021	10:00:31 AM	
P08	02.00	3	6/28/2021	10:00:34 AM	
P04	02.00	3	6/28/2021	10:00:38 AM	
P0A	02.00	3	6/28/2021	10:00:41 AM	
P0F	02.00	3	6/28/2021	10:00:44 AM	
P0C	02.00	3	6/28/2021	10:00:47 AM	
P0B	02.00	3	6/28/2021	10:00:51 AM	
P0E	02.00	3	6/28/2021	10:00:54 AM	
P0D	02.00	3	6/28/2021	10:00:57 AM	
P0F	02.00	3	6/28/2021	10:01:01 AM	
P0A	02.00	3	6/28/2021	10:01:04 AM	
P09	02.00	3	6/28/2021	10:01:07 AM	
P0F	02.00	3	6/28/2021	10:01:10 AM	
P0B	02.00	3	6/28/2021	10:01:14 AM	
P08	02.00	3	6/28/2021	10:01:17 AM	
P0C	02.00	3	6/28/2021	10:01:20 AM	
P0F	02.00	3	6/28/2021	10:01:23 AM	
P0B	02.00	3	6/28/2021	10:01:27 AM	
P0D	02.00	3	6/28/2021	10:01:30 AM	
P0E	02.00	3	6/28/2021	10:01:33 AM	
P0B	02.00	3	6/28/2021	10:01:36 AM	
P0A	02.00	3	6/28/2021	10:01:40 AM	
P09	02.00	3	6/28/2021	10:01:43 AM	
P0C	02.00	3	6/28/2021	10:01:46 AM	
P03	02.00	3	6/28/2021	10:01:49 AM	
P08	02.00	3	6/28/2021	10:01:53 AM	
P0D	02.00	3	6/28/2021	10:01:56 AM	
P02	02.00	3	6/28/2021	10:01:59 AM	
P0F	02.00	3	6/28/2021	10:02:02 AM	
P0B	02.00	3	6/28/2021	10:02:06 AM	
P04	02.00	3	6/28/2021	10:02:09 AM	
P0E	02.00	3	6/28/2021	10:02:12 AM	
P0A	02.00	3	6/28/2021	10:02:16 AM	
P05	02.00	3	6/28/2021	10:02:19 AM	
P0D	02.00	3	6/28/2021	10:02:22 AM	
P0A	02.00	3	6/28/2021	10:02:25 AM	
P06	02.00	3	6/28/2021	10:02:29 AM	
P0A	02.00	3	6/28/2021	10:34:02 AM	
P0D	02.00	3	6/28/2021	10:34:05 AM	
P00	02.00	3	6/28/2021	10:34:08 AM	
P08	02.00	3	6/28/2021	10:34:11 AM	
P0C	02.00	3	6/28/2021	10:34:15 AM	
P01	02.00	3	6/28/2021	10:34:18 AM	
P0B	02.00	3	6/28/2021	10:34:21 AM	
