P1E	02.00	3	Date	Time	
P2D	02.00	3	8/27/2021	1:27:52 PM	
P29	02.00	3	8/27/2021	1:27:56 PM	
P26	02.00	3	8/27/2021	1:27:59 PM	
P27	02.00	3	8/27/2021	1:28:02 PM	
P20	02.00	3	8/27/2021	1:28:05 PM	
P2C	02.00	3	8/27/2021	1:28:09 PM	
P26	02.00	3	8/27/2021	1:28:12 PM	
P21	02.00	3	8/27/2021	1:28:15 PM	
P2C	02.00	3	8/27/2021	1:28:18 PM	
P25	02.00	3	8/27/2021	1:28:22 PM	
P22	02.00	3	8/27/2021	1:28:25 PM	
P2F	02.00	3	8/27/2021	1:28:28 PM	
P24	02.00	3	8/27/2021	1:28:32 PM	
P23	02.00	3	8/27/2021	1:28:35 PM	
P2E	02.00	3	8/27/2021	1:28:38 PM	
P20	02.00	3	8/27/2021	1:28:41 PM	
P24	02.00	3	8/27/2021	1:28:45 PM	
P29	02.00	3	8/27/2021	1:28:48 PM	
P21	02.00	3	8/27/2021	1:28:51 PM	
P24	02.00	3	8/27/2021	1:28:54 PM	
P27	02.00	3	8/27/2021	1:30:38 PM	
P2A	02.00	3	8/27/2021	1:30:42 PM	
P2D	02.00	3	8/27/2021	1:30:45 PM	
P20	02.00	3	8/27/2021	1:30:48 PM	
P2B	02.00	3	8/27/2021	1:30:52 PM	
P2C	02.00	3	8/27/2021	1:30:55 PM	
P21	02.00	3	8/27/2021	1:30:58 PM	
P2C	02.00	3	8/27/2021	1:31:01 PM	
P28	02.00	3	8/27/2021	1:31:05 PM	
P25	02.00	3	8/27/2021	1:31:08 PM	
P2D	02.00	3	8/27/2021	1:31:11 PM	
P29	02.00	3	8/27/2021	1:31:15 PM	
P24	02.00	3	8/27/2021	1:31:18 PM	
P2E	02.00	3	8/27/2021	1:31:21 PM	
P2B	02.00	3	8/27/2021	1:31:24 PM	
P27	02.00	3	8/27/2021	1:31:28 PM	
P2F	02.00	3	8/27/2021	1:31:31 PM	
P2A	02.00	3	8/27/2021	1:31:34 PM	
P29	02.00	3	8/27/2021	1:31:37 PM	
P28	02.00	3	8/27/2021	1:31:41 PM	
P28	02.00	3	8/27/2021	1:33:43 PM	
P2D	02.00	3	8/27/2021	1:33:46 PM	
P22	02.00	3	8/27/2021	1:33:49 PM	
P29	02.00	3	8/27/2021	1:33:53 PM	
P2C	02.00	3	8/27/2021	1:33:56 PM	
P23	02.00	3	8/27/2021	1:33:59 PM	
P2A	02.00	3	8/27/2021	1:34:02 PM	
P2E	02.00	3	8/27/2021	1:34:06 PM	
P21	02.00	3	8/27/2021	1:34:09 PM	
P2B	02.00	3	8/27/2021	1:34:12 PM	
P2F	02.00	3	8/27/2021	1:34:16 PM	
P20	02.00	3	8/27/2021	1:34:19 PM	
P28	02.00	3	8/27/2021	1:34:22 PM	
P2F	02.00	3	8/27/2021	1:34:25 PM	
P23	02.00	3	8/27/2021	1:34:29 PM	
P29	02.00	3	8/27/2021	1:34:32 PM	
P2E	02.00	3	8/27/2021	1:34:35 PM	
P22	02.00	3	8/27/2021	1:34:39 PM	
P2E	02.00	3	8/27/2021	1:34:42 PM	
P29	02.00	3	8/27/2021	1:34:45 PM	
P23	02.00	3	8/27/2021	1:44:48 PM	
P2B	02.00	3	8/27/2021	1:44:51 PM	
P2F	02.00	3	8/27/2021	1:44:55 PM	
P22	02.00	3	8/27/2021	1:44:58 PM	
P2F	02.00	3	8/27/2021	1:45:01 PM	
P2A	02.00	3	8/27/2021	1:45:04 PM	
P26	02.00	3	8/27/2021	1:45:08 PM	
P2E	02.00	3	8/27/2021	1:45:11 PM	
P2B	02.00	3	8/27/2021	1:45:14 PM	
P27	02.00	3	8/27/2021	1:45:18 PM	
P2D	02.00	3	8/27/2021	1:45:21 PM	
P28	02.00	3	8/27/2021	1:45:24 PM	
P2B	02.00	3	8/27/2021	1:45:27 PM	
P2C	02.00	3	8/27/2021	1:45:31 PM	
P29	02.00	3	8/27/2021	1:45:34 PM	
P2A	02.00	3	8/27/2021	1:45:37 PM	
P2A	02.00	3	8/27/2021	1:45:40 PM	
P2E	02.00	3	8/27/2021	1:45:44 PM	
P2D	02.00	3	8/27/2021	1:45:47 PM	
P2B	02.00	3	8/27/2021	1:45:50 PM	
P27	02.00	3	8/27/2021	1:49:36 PM	
P26	02.00	3	8/27/2021	1:49:40 PM	
P25	02.00	3	8/27/2021	1:49:43 PM	
P20	02.00	3	8/27/2021	1:49:46 PM	
P27	02.00	3	8/27/2021	1:49:50 PM	
P24	02.00	3	8/27/2021	1:49:53 PM	
P21	02.00	3	8/27/2021	1:49:56 PM	
P2E	02.00	3	8/27/2021	1:49:59 PM	
P29	02.00	3	8/27/2021	1:50:03 PM	
P2C	02.00	3	8/27/2021	1:50:06 PM	
P23	02.00	3	8/27/2021	1:50:09 PM	
P28	02.00	3	8/27/2021	1:50:13 PM	
P2D	02.00	3	8/27/2021	1:50:16 PM	
P22	02.00	3	8/27/2021	1:50:19 PM	
P2A	02.00	3	8/27/2021	1:50:22 PM	
P2E	02.00	3	8/27/2021	1:50:26 PM	
P21	02.00	3	8/27/2021	1:50:29 PM	
P2B	02.00	3	8/27/2021	1:50:32 PM	
P2C	02.00	3	8/27/2021	1:50:35 PM	
P20	02.00	3	8/27/2021	1:50:39 PM	
P24	02.00	3	8/27/2021	1:53:58 PM	
P2F	02.00	3	8/27/2021	1:54:01 PM	
P2B	02.00	3	8/27/2021	1:54:05 PM	
P26	02.00	3	8/27/2021	1:54:08 PM	
P2E	02.00	3	8/27/2021	1:54:11 PM	
P2B	02.00	3	8/27/2021	1:54:14 PM	
P27	02.00	3	8/27/2021	1:54:18 PM	
P2D	02.00	3	8/27/2021	1:54:21 PM	
P28	02.00	3	8/27/2021	1:54:24 PM	
P2B	02.00	3	8/27/2021	1:54:27 PM	
P2C	02.00	3	8/27/2021	1:54:31 PM	
P29	02.00	3	8/27/2021	1:54:34 PM	
P2A	02.00	3	8/27/2021	1:54:37 PM	
P2B	02.00	3	8/27/2021	1:54:41 PM	
P2E	02.00	3	8/27/2021	1:54:44 PM	
P2D	02.00	3	8/27/2021	1:54:47 PM	
