date,site,rep,chl
6/5/2017,EC_1163,1,22.01
6/5/2017,EC_1163,2,16.41
6/5/2017,EC_1163,3,29.85
6/19/2017,EC_1163,1,14.83
6/19/2017,EC_1163,2,9.6
6/19/2017,EC_1163,3,11.72
6/26/2017,EC_1163,1,19.32
6/26/2017,EC_1163,2,24.07
6/26/2017,EC_1163,3,28.36
6/21/2017,EC_1163,1,20.57
6/21/2017,EC_1163,2,16.83
6/21/2017,EC_1163,3,16.98
7/17/2017,EC_1163,1,119.75
7/17/2017,EC_1163,2,96.37
7/17/2017,EC_1163,3,110.14
7/31/2017,EC_1163,1,58.34
7/31/2017,EC_1163,2,59.58
7/31/2017,EC_1163,3,57.72
8/14/2017,EC_1163,1,48.9
8/14/2017,EC_1163,2,54.34
8/14/2017,EC_1163,3,47.16
8/28/2017,EC_1163,1,38.16
8/28/2017,EC_1163,2,42.34
8/28/2017,EC_1163,3,40.22
6/5/2017,Bells,1,5.93
6/5/2017,Bells,2,3.53
6/5/2017,Bells,3,8.03
6/19/2017,Bells,1,22.93
6/19/2017,Bells,2,17.76
6/19/2017,Bells,3,30.18
6/26/2017,Bells,1,45.23
6/26/2017,Bells,2,43.43
6/26/2017,Bells,3,45.71
6/21/2017,Bells,1,
6/21/2017,Bells,2,
6/21/2017,Bells,3,
7/17/2017,Bells,1,15.68
7/17/2017,Bells,2,17.58
7/17/2017,Bells,3,14.5
7/31/2017,Bells,1,11.83
7/31/2017,Bells,2,13.44
7/31/2017,Bells,3,13.97
8/14/2017,Bells,1,10.51
8/14/2017,Bells,2,11.69
8/14/2017,Bells,3,11.49
8/28/2017,Bells,1,16.25
8/28/2017,Bells,2,16.37
8/28/2017,Bells,3,12.13
6/5/2017,ODNR_1,1,59.59
6/5/2017,ODNR_1,2,45.22
6/5/2017,ODNR_1,3,43.46
6/19/2017,ODNR_1,1,47.41
6/19/2017,ODNR_1,2,64.88
6/19/2017,ODNR_1,3,45.36
6/26/2017,ODNR_1,1,31.74
6/26/2017,ODNR_1,2,33.54
6/26/2017,ODNR_1,3,44.47
6/21/2017,ODNR_1,1,
6/21/2017,ODNR_1,2,
6/21/2017,ODNR_1,3,
7/17/2017,ODNR_1,1,106.82
7/17/2017,ODNR_1,2,160.71
7/17/2017,ODNR_1,3,123.18
7/31/2017,ODNR_1,1,67.58
7/31/2017,ODNR_1,2,70.04
7/31/2017,ODNR_1,3,57.4
8/14/2017,ODNR_1,1,45.16
8/14/2017,ODNR_1,2,62.73
8/14/2017,ODNR_1,3,60.45
8/28/2017,ODNR_1,1,40.66
8/28/2017,ODNR_1,2,39.81
8/28/2017,ODNR_1,3,41.11
6/5/2017,ODNR_6,1,51.52
6/5/2017,ODNR_6,2,59.85
6/5/2017,ODNR_6,3,63.42
6/19/2017,ODNR_6,1,
