Shipment batch,ID#,,Date,Site Name,,,Nitrate+NO2 (umol/L),Ammonium (umol/L),DRP (umol/L),Silicate (umol/L),TP (umol/L),TKN (umol/L),TN (umol/L),TN:TP (molar),Notes,,Diss Nuts Run,TNTP Run,,DRP/TP,DIN/TN
Two. Nov 2025,Aug12_BG_Muddy Creek,8/12/2025,8/12/2025,Muddy Creek,,,27.717,2.352,1.384,68.069,8.188,108.024,135.741,16.578,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.1690278456,0.2215174487
Two. Nov 2025,Aug12_BG_ODNR 4,8/12/2025,8/12/2025,ODNR 4,,,0.559,2.533,0.547,44.423,6.4385,122.092,122.6505,19.050,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.08495767648,0.02520984423
Two. Nov 2025,Aug12_BG_ODNR 6,8/12/2025,8/12/2025,ODNR 6,,,0.552,4.34,0.722,60.038,6.01,116.734,117.2855,19.515,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.1201331115,0.04171018583
Two. Nov 2025,Aug12_BG_Bridge,8/12/2025,8/12/2025,Bridge,,,0.507,0.614,1.144,65.326,5.904,104.316,104.823,17.755,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.1937669377,0.01069421787
Two. Nov 2025,Aug12_BG_ODNR 2,8/12/2025,8/12/2025,ODNR 2,,,0.499,4.575,0.466,79.431,4.524,90.399,90.898,20.092,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.1030061892,0.05582081014
Two. Nov 2025,Aug12_BG_Buoy 2,8/12/2025,8/12/2025,Buoy 2,,,0.563,1.566,0.089,84.49,3.4655,78.340,78.903,22.768,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.02568171981,0.0269824975
Two. Nov 2025,Aug12_BG_ODNR 1,8/12/2025,8/12/2025,ODNR 1,,,1.019,1.055,0.101,76.034,3.6335,83.178,84.197,23.172,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.02779689005,0.02463270663
Two. Nov 2025,Aug12_BG_EC 1163,8/12/2025,8/12/2025,EC 1163,,,0.435,1.288,0.056,66.515,2.9755,68.797,69.232,23.267,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.01882036632,0.02488733534
Two. Nov 2025,Aug12_BG_Causeway,8/12/2025,8/12/2025,Causeway,,,0.452,1.405,0.048,68.205,2.746,67.516,67.968,24.752,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.01747997087,0.02732168079
Two. Nov 2025,Aug12_BG_Bells,8/12/2025,8/12/2025,Bells,,,15.789,1.869,0.026,32.754,0.8125,22.138,37.9265,46.679,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.032,0.4655847494
Two. Nov 2025,Aug20_BG_Muddy Creek,8/20/2025,8/20/2025,Muddy Creek,,,9.559,12.751,4.139,110.585,10.7145,111.024,120.5825,11.254,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.3862989407,0.1850185558
Two. Nov 2025,Aug20_BG_ODNR 4,8/20/2025,8/20/2025,ODNR 4,,,4.799,12.318,2.07,95.74,6.4625,101.139,105.9375,16.393,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.3203094778,0.1615764012
Two. Nov 2025,Aug20_BG_ODNR 6,8/20/2025,8/20/2025,ODNR 6,,,2.029,4.429,1.77,93.904,6.1465,102.105,104.134,16.942,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.2879687627,0.0620162483
Two. Nov 2025,Aug20_BG_Bridge,8/20/2025,8/20/2025,Bridge,,,2.386,4.212,1.952,115.656,6.7575,98.502,100.888,14.930,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.2888642249,0.06539925462
Two. Nov 2025,Aug20_BG_ODNR 2,8/20/2025,8/20/2025,ODNR 2,,,0.42,1.366,1.434,92.316,5.9935,97.593,98.0125,16.353,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.2392591975,0.01822216554
Two. Nov 2025,Aug20_BG_Buoy 2,8/20/2025,8/20/2025,Buoy 2,,,0.097,1.137,0.5,89.918,4.3495,77.431,77.528,17.825,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.114955742,0.01591683005
Two. Nov 2025,Aug20_BG_ODNR 1,8/20/2025,8/20/2025,ODNR 1,,,3.023,1.636,0.469,80.957,3.366,62.795,65.8175,19.554,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.1393345217,0.07078664489
Two. Nov 2025,Aug20_BG_EC 1163,8/20/2025,8/20/2025,EC 1163,,,2.283,2.921,0.063,33.115,2.6575,51.302,53.5845,20.163,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.02370649106,0.09711763663
Two. Nov 2025,Aug20_BG_Causeway,8/20/2025,8/20/2025,Causeway,,,2.636,0.995,0.172,60.313,2.864,63.788,66.424,23.193,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.06005586592,0.05466397688
Two. Nov 2025,Aug26_BG_Muddy Creek,8/26/2025,8/26/2025,Muddy Creek,,,8.143,3.242,1.772,170.696,7.513,87.716,95.8585,12.759,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.2358578464,0.1187688103
Two. Nov 2025,Aug26_BG_ODNR 4,8/26/2025,8/26/2025,ODNR 4,,,1.613,1.829,0.601,108.373,4.9025,89.683,91.296,18.622,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.122590515,0.03770154224
Two. Nov 2025,Aug26_BG_ODNR 6,8/26/2025,8/26/2025,ODNR 6,,,0.706,1.608,0.416,114.606,4.743,89.201,89.907,18.956,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.08770820156,0.02573770674
Two. Nov 2025,Aug26_BG_Bridge,8/26/2025,8/26/2025,Bridge,,,0.373,2.002,0.209,95.872,4.34,81.592,81.9645,18.886,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.04815668203,0.0289759591
Two. Nov 2025,Aug26_BG_ODNR 2,8/26/2025,8/26/2025,ODNR 2,,,0.537,1.302,0.136,94.195,3.7815,70.095,70.6315,18.678,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.03596456433,0.02603654177
Two. Nov 2025,Aug26_BG_Buoy 2,8/26/2025,8/26/2025,Buoy 2,,,0.863,1.027,0.366,92.327,4.495,68.606,69.469,15.455,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.08142380423,0.02720637982
Two. Nov 2025,Aug26_BG_ODNR 1,8/26/2025,8/26/2025,ODNR 1,,,0.753,1.216,0.538,94.555,3.788,65.306,66.0585,17.439,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.1420274551,0.02980691357
Two. Nov 2025,Aug26_BG_EC 1163,8/26/2025,8/26/2025,EC 1163,,,0.993,1.405,0.037,33.696,1.639,36.308,37.3005,22.758,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.0225747407,0.06428868246
Two. Nov 2025,Aug26_BG_Causeway,8/26/2025,8/26/2025,Causeway,,,0,1.521,0.059,90.476,3.0465,60.921,60.9205,19.997,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.01936648613,0.02496696514
Two. Nov 2025,Sept02_BG_Muddy Creek,9/2/2025,9/2/2025,Muddy Creek,,,0.028,5.299,1.339,169.263,5.306,71.902,71.93,13.556,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.2523558236,0.07405811205
Two. Nov 2025,Sept02_BG_ODNR 4,9/2/2025,9/2/2025,ODNR 4,,,1.374,1.929,0.39,126.724,3.662,70.864,72.238,19.726,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.1064991808,0.04572385725
Two. Nov 2025,Sept02_BG_ODNR 6,9/2/2025,9/2/2025,ODNR 6,,,0.989,1.039,0.477,119.987,3.164,65.185,66.174,20.915,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.1507585335,0.03064647747
Two. Nov 2025,Sept02_BG_Bridge,9/2/2025,9/2/2025,Bridge,,,0.125,2.577,0.435,102.798,2.999,60.809,60.9335,20.318,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.1450483494,0.04434342357
Two. Nov 2025,Sept02_BG_ODNR 2,9/2/2025,9/2/2025,ODNR 2,,,1.355,2.255,0.351,109.415,3.2145,64.191,65.5455,20.391,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.1091927205,0.05507624475
Two. Nov 2025,Sept02_BG_Buoy 2,9/2/2025,9/2/2025,Buoy 2,,,0.092,1.648,0.292,92.757,2.4675,55.158,55.2495,22.391,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.1183383992,0.03149349768
Two. Nov 2025,Sept02_BG_ODNR 1,9/2/2025,9/2/2025,ODNR 1,,,0.041,1.328,0.254,70.843,2.0395,45.519,45.56,22.339,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.1245403285,0.03004828797
Two. Nov 2025,Sept02_BG_EC 1163,9/2/2025,9/2/2025,EC 1163,,,0.075,1.262,0.09,53.96,1.669,43.668,43.743,26.209,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.05392450569,0.03056489038
Two. Nov 2025,Sept02_BG_Causeway,9/2/2025,9/2/2025,Causeway,,,0.878,1.381,0.052,59.267,2.1145,54.433,55.311,26.158,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.02459210215,0.04084178554
Two. Nov 2025,Sept02_BG_Bells,9/2/2025,9/2/2025,Bells,,,1.924,2.084,0.108,23.67,1.1385,26.829,28.753,25.255,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.09486166008,0.1393941502
Two. Nov 2025,Sept09_BG_Muddy Creek,9/9/2025,9/9/2025,Muddy Creek,,,0.174,3.834,1.114,168.116,6.5005,83.879,84.0525,12.930,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.171371433,0.04768448291
Two. Nov 2025,Sept09_BG_ODNR 4,9/9/2025,9/9/2025,ODNR 4,,,1.643,2.167,0.694,152.892,3.739,68.774,70.4165,18.833,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.185611126,0.05410663694
Two. Nov 2025,Sept09_BG_ODNR 6,9/9/2025,9/9/2025,ODNR 6,,,0.216,1.714,0.549,143.068,3.1305,66.806,67.0215,21.409,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.1753713464,0.02879672941
Two. Nov 2025,Sept09_BG_Bridge,9/9/2025,9/9/2025,Bridge,,,1.216,1.74,0.387,116.83,2.853,62.521,63.7365,22.340,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.1356466877,0.04637844877
Two. Nov 2025,Sept09_BG_ODNR 2,9/9/2025,9/9/2025,ODNR 2,,,1.684,0.86,0.35,99.641,2.4315,52.459,54.1425,22.267,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.1439440674,0.04698711733
Two. Nov 2025,Sept09_BG_Buoy 2,9/9/2025,9/9/2025,Buoy 2,,,0,0.166,0.119,64.544,1.9595,45.693,45.6925,23.318,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.060729778,0.003632981343
Two. Nov 2025,Sept09_BG_ODNR 1,9/9/2025,9/9/2025,ODNR 1,,,0,12.296,0.184,69.045,1.991,46.058,46.058,23.133,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.09241587142,0.2669677363
Two. Nov 2025,Sept09_BG_EC 1163,9/9/2025,9/9/2025,EC 1163,,,0.033,43.085,0.175,43.09,1.5415,38.513,38.5455,25.005,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.1135257866,1.118626039
Two. Nov 2025,Sept09_BG_Causeway,9/9/2025,9/9/2025,Causeway,,,0.013,1.286,0.073,57.218,1.883,49.197,49.2095,26.134,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.03876792353,0.02639734198
Two. Nov 2025,Sept09_BG_Bells,9/9/2025,9/9/2025,Bells,,,2.839,1.588,0.224,31.127,1.078,26.171,29.01,26.911,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 16 2025 BGSU Run 4 and RedosR1.RUN,,0.2077922078,0.1526025508
Two. Nov 2025,Sept16_BG_Muddy Creek,9/16/2025,9/16/2025,Muddy Creek,,,0,1.25,1.721,193.858,4.959,67.470,67.47,13.606,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.3470457754,0.01852675263
Two. Nov 2025,Sept16_BG_ODNR 4,9/16/2025,9/16/2025,ODNR 4,,,0,0.781,0.435,200.599,3.547,77.444,77.444,21.834,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.1226388497,0.01008470637
Two. Nov 2025,Sept16_BG_ODNR 6,9/16/2025,9/16/2025,ODNR 6,,,0.439,0,0.444,142.8,2.538,56.426,56.865,22.405,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.1749408983,0.007720038688
Two. Nov 2025,Sept16_BG_Bridge,9/16/2025,9/16/2025,Bridge,,,0,1.141,0.387,151.85,2.566,58.220,58.22,22.689,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.1508183944,0.01959807626
Two. Nov 2025,Sept16_BG_ODNR 2,9/16/2025,9/16/2025,ODNR 2,,,0.18,1.292,0.146,105.27,2.6995,71.192,71.372,26.439,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.05408408965,0.02062433447
Two. Nov 2025,Sept16_BG_Buoy 2,9/16/2025,9/16/2025,Buoy 2,,,0.045,0.074,0.172,90.39,1.9685,47.501,47.5455,24.153,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.08737617475,0.002502865676
Two. Nov 2025,Sept16_BG_ODNR 1,9/16/2025,9/16/2025,ODNR 1,,,0.028,1.171,0.218,77.304,1.8275,45.778,45.8055,25.065,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.1192886457,0.02617589591
Two. Nov 2025,Sept16_BG_EC 1163,9/16/2025,9/16/2025,EC 1163,,,0,0,0.14,56.145,1.5665,40.685,40.6845,25.972,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.0893712097,0
Two. Nov 2025,Sept16_BG_Causeway,9/16/2025,9/16/2025,Causeway,,,0,0.371,0.067,50.361,1.786,45.570,45.5695,25.515,,,Dec 3 BGSU Run 2R1.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.03751399776,0.008141410373
Two. Nov 2025,Jul31_BG_Swim Beach,7/31/2025,7/31/2025,Swim Beach,,,0.101,0.95,0.018,334.72,5.364,145.657,145.7575,27.173,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.003355704698,0.007210606658
Two. Nov 2025,Jul31_BG_Inlet,7/31/2025,7/31/2025,Inlet,,,0.129,0.631,0.093,334.56,8.885,178.544,178.6725,20.109,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.01046707935,0.004253592467
Two. Nov 2025,Jul31_BG_Outer Cove,7/31/2025,7/31/2025,Outer Cove,,,0.101,0.712,0.024,343.46,5.054,135.785,135.8855,26.887,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.00474871389,0.005982978316
Two. Nov 2025,Jul31_BG_Center,7/31/2025,7/31/2025,Center,,,0.055,0.458,0.03,339.68,5.5795,145.524,145.5785,26.092,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.00537682588,0.003523872
Two. Nov 2025,Aug14_BG_Swim Beach,8/14/2025,8/14/2025,Swim Beach,,,0.208,1.047,0.041,379.66,6.815,220.570,220.7775,32.396,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.006016140866,0.00568445607
Two. Nov 2025,Aug14_BG_Inlet,8/14/2025,8/14/2025,Inlet,,,0.781,0.948,0.121,376.52,11.8775,279.941,280.7215,23.635,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.01018732898,0.006159129244
Two. Nov 2025,Aug14_BG_Outer Cove,8/14/2025,8/14/2025,Outer Cove,,,0.732,2.385,0.168,366.86,11.915,337.188,337.9195,28.361,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.01409987411,0.009224090353
Two. Nov 2025,Aug14_BG_Center,8/14/2025,8/14/2025,Center,,,0.172,0.8,0.172,353.37,17.2225,495.998,496.17,28.809,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.009986935695,0.001959005986
Two. Nov 2025,Aug14_BG_Swim Beach Rope,8/14/2025,8/14/2025,Swim Beach Rope,,,0.003,1.191,0.423,380.43,7.499,243.828,243.831,32.515,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.056407521,0.004896834283
Two. Nov 2025,Aug14_BG_Dock,8/14/2025,8/14/2025,Dock,,,0.542,1.147,0.165,389.24,8.4115,280.921,281.463,33.462,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.0196160019,0.006000788736
Two. Nov 2025,Aug29_BG_Swim Beach,8/29/2025,8/29/2025,Swim Beach,,,0.02,0.919,0.043,430.44,8.9345,247.841,247.8605,27.742,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.004812804298,0.00378842131
Two. Nov 2025,Aug29_BG_Inlet,8/29/2025,8/29/2025,Inlet,,,0.434,6.238,0.158,426.29,10.455,246.019,246.4525,23.573,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.01511238642,0.02707215386
Two. Nov 2025,Aug29_BG_Outer Cove,8/29/2025,8/29/2025,Outer Cove,,,1.343,1.81,0.077,425.41,8.964,234.422,235.7645,26.301,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.008589915216,0.01337351467
Two. Nov 2025,Aug29_BG_Center,8/29/2025,8/29/2025,Center,,,0.451,4.746,0.063,444.13,8.746,231.612,232.063,26.534,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.007203292934,0.02239478073
Two. Nov 2025,Aug29_BG_Dock,8/29/2025,8/29/2025,Dock,,,0.67,1.963,0.114,431.57,17.5165,552.355,553.025,31.572,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.006508149459,0.00476108675
Two. Nov 2025,Sept12_BG_Swim Beach,9/12/2025,9/12/2025,Swim Beach,,,0,7.713,0.112,409.58,8.975,222.173,222.1725,24.755,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.01247910864,0.03471626776
Two. Nov 2025,Sept12_BG_Inlet,9/12/2025,9/12/2025,Inlet,,,0.263,2.316,0.159,417.84,10.7315,227.509,227.7715,21.225,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.01481619531,0.01132275109
Two. Nov 2025,Sept12_BG_Outer Cove,9/12/2025,9/12/2025,Outer Cove,,,0.04,1.506,0.139,454.48,11.282,284.983,285.0225,25.263,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.01232051055,0.005424133182
Two. Nov 2025,Sept12_BG_Center,9/12/2025,9/12/2025,Center,,,0,14.434,0.16,444.41,11.7635,289.125,289.125,24.578,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.01360139414,0.04992304367
Two. Nov 2025,Sept26_BG_Swim Beach,9/26/2025,9/26/2025,Swim Beach,,,0.112,1.42,0.41,459.79,7.319,183.174,183.286,25.042,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.05601858177,0.008358521655
Two. Nov 2025,Sept26_BG_Inlet,9/26/2025,9/26/2025,Inlet,,,0.363,9.514,1.703,523.98,13.9445,299.188,299.551,21.482,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.1221270035,0.03297268245
Two. Nov 2025,Sept26_BG_Outer Cove,9/26/2025,9/26/2025,Outer Cove,,,0.067,1.012,0.803,445.58,10.812,233.573,233.6395,21.609,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.07426933037,0.004618225942
Two. Nov 2025,Sept26_BG_Center,9/26/2025,9/26/2025,Center,,,0.033,1.138,0.736,420.73,9.534,214.372,214.405,22.488,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.07719739878,0.005461626361
Two. Nov 2025,Sept26_BG_Dock,9/26/2025,9/26/2025,Dock,,,0.193,1.259,0.52,421.78,8.372,195.017,195.21,23.317,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.06211180124,0.007438143538
Two. Nov 2025,Oct13_BG_Swim Beach,10/13/2025,10/13/2025,Swim Beach,,,0.106,2.257,0.077,437.37,8.1695,200.738,200.8435,24.585,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.009425301426,0.01176537951
Two. Nov 2025,Oct13_BG_Inlet,10/13/2025,10/13/2025,Inlet,,,0,1.145,0.368,408.09,8.3925,201.295,201.2945,23.985,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.04384867441,0.005688183234
Two. Nov 2025,Oct13_BG_Outer Cove,10/13/2025,10/13/2025,Outer Cove,,,0,0.959,0.121,442.28,8.63,212.535,212.5345,24.627,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.01402085747,0.004512208606
Two. Nov 2025,Oct13_BG_Center,10/13/2025,10/13/2025,Center,,,0.044,3.698,0.06,452.43,8.106,205.896,205.9395,25.406,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.0074019245,0.01817038499
Two. Nov 2025,Oct24_BG_Swim Beach,10/24/2025,10/24/2025,Swim Beach,,,0.116,1.196,0.051,424.76,7.514,192.123,192.239,25.584,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.006787330317,0.006824837832
Two. Nov 2025,Oct24_BG_Inlet,10/24/2025,10/24/2025,Inlet,,,0.167,1.548,0.118,400.4,7.3265,183.954,184.1205,25.131,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.01610591688,0.009314552155
Two. Nov 2025,Oct24_BG_Outer Cove,10/24/2025,10/24/2025,Outer Cove,,,0.415,1.267,0.264,420.13,7.7645,198.754,199.169,25.651,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.03400090154,0.008445089346
Two. Nov 2025,Oct24_BG_Center,10/24/2025,10/24/2025,Center,,,1.162,1.121,0.068,426.61,7.312,192.659,193.8205,26.507,,,Dec 3 BGSU Run3 and Redos.RUN,TNTP Dec 18 2025 BGSU Run 5 and Redos.RUN,,0.009299781182,0.01177893979
