site,date_time,discharge,note
4198000,1/2/2019 6:30,8400,cubic feet per second
4198000,1/2/2019 6:45,8340,cubic feet per second
4198000,1/2/2019 7:00,8310,cubic feet per second
4198000,1/2/2019 7:15,8280,cubic feet per second
4198000,1/2/2019 7:30,8260,cubic feet per second
4198000,1/2/2019 7:45,8200,cubic feet per second
4198000,1/2/2019 8:00,8170,cubic feet per second
4198000,1/2/2019 8:15,8140,cubic feet per second
4198000,1/2/2019 8:30,8120,cubic feet per second
4198000,1/2/2019 8:45,8090,cubic feet per second
4198000,1/2/2019 9:00,8060,cubic feet per second
4198000,1/2/2019 9:15,8060,cubic feet per second
4198000,1/2/2019 9:30,8010,cubic feet per second
4198000,1/2/2019 9:45,7980,cubic feet per second
4198000,1/2/2019 10:00,7950,cubic feet per second
4198000,1/2/2019 10:15,7920,cubic feet per second
4198000,1/2/2019 10:30,7900,cubic feet per second
4198000,1/2/2019 10:45,7900,cubic feet per second
4198000,1/2/2019 11:00,7870,cubic feet per second
4198000,1/2/2019 11:15,7840,cubic feet per second
4198000,1/2/2019 11:30,7810,cubic feet per second
4198000,1/2/2019 11:45,7790,cubic feet per second
4198000,1/2/2019 12:00,7790,cubic feet per second
4198000,1/2/2019 12:15,7760,cubic feet per second
4198000,1/2/2019 12:30,7730,cubic feet per second
4198000,1/2/2019 12:45,7730,cubic feet per second
4198000,1/2/2019 13:00,7710,cubic feet per second
4198000,1/2/2019 13:15,7680,cubic feet per second
4198000,1/2/2019 13:30,7680,cubic feet per second
4198000,1/2/2019 13:45,7650,cubic feet per second
4198000,1/2/2019 14:00,7620,cubic feet per second
4198000,1/2/2019 14:15,7620,cubic feet per second
4198000,1/2/2019 14:30,7620,cubic feet per second
4198000,1/2/2019 14:45,7600,cubic feet per second
4198000,1/2/2019 15:00,7600,cubic feet per second
4198000,1/2/2019 15:15,7600,cubic feet per second
4198000,1/2/2019 15:30,7570,cubic feet per second
4198000,1/2/2019 15:45,7570,cubic feet per second
4198000,1/2/2019 16:00,7570,cubic feet per second
4198000,1/2/2019 16:15,7540,cubic feet per second
4198000,1/2/2019 16:30,7540,cubic feet per second
4198000,1/2/2019 16:45,7520,cubic feet per second
4198000,1/2/2019 17:00,7520,cubic feet per second
4198000,1/2/2019 17:15,7520,cubic feet per second
4198000,1/2/2019 17:30,7490,cubic feet per second
4198000,1/2/2019 17:45,7460,cubic feet per second
4198000,1/2/2019 18:00,7460,cubic feet per second
4198000,1/2/2019 18:15,7460,cubic feet per second
