"site","date","rep","Depth","LightValue","Light_0","doy"
"Buoy 2",2020-08-03,"avg",0,100.245,100.245,216
"Buoy 2",2020-08-03,"avg",0.5,28.485,100.245,216
"Buoy 2",2020-08-03,"avg",1,8.36,100.245,216
"Buoy 2",2020-08-03,"avg",1.5,4.235,100.245,216
"Buoy 2",2020-08-03,"avg",2,2.01,100.245,216
"Buoy 2",2020-08-03,"avg",2.5,0.805,100.245,216
"Buoy 2",2020-08-03,"avg",3,0.015,100.245,216
"ODNR 1",2020-08-03,"avg",0,229.8,229.8,216
"ODNR 1",2020-08-03,"avg",0.5,76.875,229.8,216
"ODNR 1",2020-08-03,"avg",1,75.6,229.8,216
"ODNR 1",2020-08-03,"avg",1.5,45.97,229.8,216
"ODNR 1",2020-08-03,"avg",2,24.475,229.8,216
"ODNR 1",2020-08-03,"avg",2.5,15.815,229.8,216
"ODNR 1",2020-08-03,"avg",3,7.83,229.8,216
"ODNR 1",2020-08-03,"avg",3.5,3.77,229.8,216
"EC 1163",2020-08-03,"avg",0,864.65,864.65,216
"EC 1163",2020-08-03,"avg",0.5,491.65,864.65,216
"EC 1163",2020-08-03,"avg",1,167.095,864.65,216
"EC 1163",2020-08-03,"avg",1.5,52.615,864.65,216
"EC 1163",2020-08-03,"avg",2,16.285,864.65,216
"EC 1163",2020-08-03,"avg",2.5,13.295,864.65,216
"EC 1163",2020-08-03,"avg",3,3.13,864.65,216
"EC 1163",2020-08-03,"avg",3.5,1.58,864.65,216
"EC 1163",2020-08-03,"avg",4,0.725,864.65,216
"Bells",2020-08-03,"avg",0,655.1,655.1,216
"Bells",2020-08-03,"avg",0.5,466.3,655.1,216
"Bells",2020-08-03,"avg",1,316.6,655.1,216
"Bells",2020-08-03,"avg",1.5,186.69,655.1,216
"Bells",2020-08-03,"avg",2,120.46,655.1,216
"Bells",2020-08-03,"avg",2.5,76.99,655.1,216
"Bells",2020-08-03,"avg",3,58.24,655.1,216
"Bells",2020-08-03,"avg",3.5,44.55,655.1,216
"Bells",2020-08-03,"avg",4,34.26,655.1,216
"Bells",2020-08-03,"avg",5,21.1,655.1,216
"Bells",2020-08-03,"avg",6,13.52,655.1,216
"Bells",2020-08-03,"avg",7,8.59,655.1,216
"Bells",2020-08-03,"avg",8,4.86,655.1,216
"Muddy Creek",2020-08-10,"avg",0,573.45,573.45,223
"Muddy Creek",2020-08-10,"avg",0.5,25.495,573.45,223
"Muddy Creek",2020-08-10,"avg",1,1.58,573.45,223
"Muddy Creek",2020-08-10,"avg",1.5,0.07,573.45,223
"Muddy Creek",2020-08-10,"avg",2,0.01,573.45,223
"ODNR 4 ",2020-08-10,"avg",0,723,723,223
"ODNR 4 ",2020-08-10,"avg",0.5,106.97,723,223
"ODNR 4 ",2020-08-10,"avg",1,16.84,723,223
"ODNR 4 ",2020-08-10,"avg",1.5,3.545,723,223
"ODNR 4 ",2020-08-10,"avg",2,0.56,723,223
"ODNR 6",2020-08-10,"avg",0,427.75,427.75,223
"ODNR 6",2020-08-10,"avg",0.5,100.98,427.75,223
"ODNR 6",2020-08-10,"avg",1,18.535,427.75,223
"ODNR 6",2020-08-10,"avg",1.5,4.71,427.75,223
"ODNR 6",2020-08-10,"avg",2,0.13,427.75,223
"ODNR 6",2020-08-10,"avg",2.5,0.005,427.75,223
"ODNR 2",2020-08-10,"avg",0,989.15,989.15,223
"ODNR 2",2020-08-10,"avg",0.5,360.7,989.15,223
"ODNR 2",2020-08-10,"avg",1,122.66,989.15,223
"ODNR 2",2020-08-10,"avg",1.5,35.53,989.15,223
"ODNR 2",2020-08-10,"avg",2,11.345,989.15,223
"ODNR 2",2020-08-10,"avg",2.5,6.75,989.15,223
"ODNR 2",2020-08-10,"avg",3,1.975,989.15,223
"Buoy 2",2020-08-10,"avg",0,980.15,980.15,223
"Buoy 2",2020-08-10,"avg",0.5,387.55,980.15,223
"Buoy 2",2020-08-10,"avg",1,182.03,980.15,223
"Buoy 2",2020-08-10,"avg",1.5,72.675,980.15,223
"Buoy 2",2020-08-10,"avg",2,24.7,980.15,223
"Buoy 2",2020-08-10,"avg",2.5,13.75,980.15,223
"Buoy 2",2020-08-10,"avg",3,5.285,980.15,223
"ODNR 1",2020-08-10,"avg",0,649.8,649.8,223
"ODNR 1",2020-08-10,"avg",0.5,255.7,649.8,223
"ODNR 1",2020-08-10,"avg",1,109.065,649.8,223
"ODNR 1",2020-08-10,"avg",1.5,51.08,649.8,223
"ODNR 1",2020-08-10,"avg",2,17.825,649.8,223
"ODNR 1",2020-08-10,"avg",2.5,5.12,649.8,223
"ODNR 1",2020-08-10,"avg",3,3.02,649.8,223
"ODNR 1",2020-08-10,"avg",3.5,1.41,649.8,223
"EC 1163",2020-08-10,"avg",0,542.1,542.1,223
"EC 1163",2020-08-10,"avg",0.5,182.6,542.1,223
"EC 1163",2020-08-10,"avg",1,66.6,542.1,223
"EC 1163",2020-08-10,"avg",1.5,52.13,542.1,223
"EC 1163",2020-08-10,"avg",2,24.75,542.1,223
"EC 1163",2020-08-10,"avg",2.5,10.87,542.1,223
"EC 1163",2020-08-10,"avg",3,5.45,542.1,223
"Bells",2020-08-10,"avg",0,1043.9,1043.9,223
"Bells",2020-08-10,"avg",0.5,619.15,1043.9,223
"Bells",2020-08-10,"avg",1,321.45,1043.9,223
"Bells",2020-08-10,"avg",1.5,290.25,1043.9,223
"Bells",2020-08-10,"avg",2,119.095,1043.9,223
"Bells",2020-08-10,"avg",2.5,135.425,1043.9,223
"Bells",2020-08-10,"avg",3,94.37,1043.9,223
"Bells",2020-08-10,"avg",3.5,94.575,1043.9,223
"Bells",2020-08-10,"avg",4,71.26,1043.9,223
"Bells",2020-08-10,"avg",5,38.67,1043.9,223
"Bells",2020-08-10,"avg",6,19.955,1043.9,223
"Bells",2020-08-10,"avg",7,14.895,1043.9,223
"Bells",2020-08-10,"avg",8,9.995,1043.9,223
"Bells",2020-08-10,"avg",9,8.555,1043.9,223
"Bells",2020-08-10,"avg",10,2.835,1043.9,223
"Bells",2020-08-10,"avg",11,0.31,1043.9,223
