"variable","Depth","Site","Year","K_avg","value","plot"
"Light",0.5,"Muddy Creek",2020,6.63091157860511,10.173,"Light"
"Light",1,"Muddy Creek",2020,6.63091157860511,0.636111111111111,"Light"
"Light",1.5,"Muddy Creek",2020,6.63091157860511,0.0357142857142857,"Light"
"Light",2,"Muddy Creek",2020,6.63091157860511,0.01,"Light"
"Light",0.5,"ODNR 4",2020,4.06335717356525,46.775,"Light"
"Light",1,"ODNR 4",2020,4.06335717356525,8.598,"Light"
"Light",1.5,"ODNR 4",2020,4.06335717356525,1.908,"Light"
"Light",2,"ODNR 4",2020,4.06335717356525,0.39125,"Light"
"Light",2.5,"ODNR 4",2020,4.06335717356525,0.1375,"Light"
"Light",0.5,"ODNR 6",2020,2.99222403622474,140.9865,"Light"
"Light",1,"ODNR 6",2020,2.99222403622474,38.681,"Light"
"Light",1.5,"ODNR 6",2020,2.99222403622474,15.0585,"Light"
"Light",2,"ODNR 6",2020,2.99222403622474,3.446,"Light"
"Light",2.5,"ODNR 6",2020,2.99222403622474,1.169,"Light"
"Light",3,"ODNR 6",2020,2.99222403622474,0.420714285714286,"Light"
"Light",3.5,"ODNR 6",2020,2.99222403622474,0.168166666666667,"Light"
"Light",4,"ODNR 6",2020,2.99222403622474,0.04,"Light"
"Light",5,"ODNR 6",2020,2.99222403622474,0.03,"Light"
"Light",0.5,"ODNR 2",2020,2.43969987298992,230.1155,"Light"
"Light",1,"ODNR 2",2020,2.43969987298992,93.4215,"Light"
"Light",1.5,"ODNR 2",2020,2.43969987298992,29.4045,"Light"
"Light",2,"ODNR 2",2020,2.43969987298992,10.846,"Light"
"Light",2.5,"ODNR 2",2020,2.43969987298992,4.9805,"Light"
"Light",3,"ODNR 2",2020,2.43969987298992,2.22,"Light"
"Light",3.5,"ODNR 2",2020,2.43969987298992,0.115,"Light"
"Light",4,"ODNR 2",2020,2.43969987298992,0.0525,"Light"
"Light",0.5,"Buoy 2",2020,1.78207053926906,243.5015,"Light"
"Light",1,"Buoy 2",2020,1.78207053926906,133.9305,"Light"
"Light",1.5,"Buoy 2",2020,1.78207053926906,56.2485,"Light"
"Light",2,"Buoy 2",2020,1.78207053926906,23.355,"Light"
"Light",2.5,"Buoy 2",2020,1.78207053926906,15.503,"Light"
"Light",3,"Buoy 2",2020,1.78207053926906,5.7935,"Light"
"Light",3.5,"Buoy 2",2020,1.78207053926906,3.09428571428571,"Light"
"Light",4,"Buoy 2",2020,1.78207053926906,1.15,"Light"
"Light",5,"Buoy 2",2020,1.78207053926906,0.155,"Light"
"Light",0.5,"ODNR 1",2020,1.82602675967382,219.5045,"Light"
"Light",1,"ODNR 1",2020,1.82602675967382,106.3805,"Light"
"Light",1.5,"ODNR 1",2020,1.82602675967382,54.81,"Light"
"Light",2,"ODNR 1",2020,1.82602675967382,25.401,"Light"
"Light",2.5,"ODNR 1",2020,1.82602675967382,17.268,"Light"
"Light",3,"ODNR 1",2020,1.82602675967382,8.5915,"Light"
"Light",3.5,"ODNR 1",2020,1.82602675967382,2.25,"Light"
"Light",4,"ODNR 1",2020,1.82602675967382,0.59,"Light"
"Light",5,"ODNR 1",2020,1.82602675967382,0.02,"Light"
"Light",0.5,"EC 1163",2020,1.70377144597273,316.451,"Light"
"Light",1,"EC 1163",2020,1.70377144597273,153.2255,"Light"
"Light",1.5,"EC 1163",2020,1.70377144597273,78.921,"Light"
"Light",2,"EC 1163",2020,1.70377144597273,42.3105,"Light"
"Light",2.5,"EC 1163",2020,1.70377144597273,21.405,"Light"
"Light",3,"EC 1163",2020,1.70377144597273,12.2105555555556,"Light"
"Light",3.5,"EC 1163",2020,1.70377144597273,7.420625,"Light"
"Light",4,"EC 1163",2020,1.70377144597273,4.77,"Light"
"Light",4.5,"EC 1163",2020,1.70377144597273,9.1,"Light"
"Light",5,"EC 1163",2020,1.70377144597273,0.42,"Light"
"Light",6,"EC 1163",2020,1.70377144597273,0.173333333333333,"Light"
"Light",0.5,"Bells",2020,0.648786475179103,562.902142857143,"Light"
"Light",1,"Bells",2020,0.648786475179103,424.897142857143,"Light"
"Light",1.5,"Bells",2020,0.648786475179103,333.653571428571,"Light"
"Light",2,"Bells",2020,0.648786475179103,242.564285714286,"Light"
"Light",2.5,"Bells",2020,0.648786475179103,181.990714285714,"Light"
"Light",3,"Bells",2020,0.648786475179103,153.741428571429,"Light"
"Light",3.5,"Bells",2020,0.648786475179103,122.815,"Light"
"Light",4,"Bells",2020,0.648786475179103,96.5542857142857,"Light"
"Light",5,"Bells",2020,0.648786475179103,66.0978571428571,"Light"
"Light",6,"Bells",2020,0.648786475179103,45.7314285714286,"Light"
"Light",7,"Bells",2020,0.648786475179103,29.1521428571429,"Light"
"Light",8,"Bells",2020,0.648786475179103,9.14583333333333,"Light"
"Light",9,"Bells",2020,0.648786475179103,8.234,"Light"
"Light",10,"Bells",2020,0.648786475179103,2.365,"Light"
"Light",11,"Bells",2020,0.648786475179103,0.38875,"Light"
"Light",12,"Bells",2020,0.648786475179103,0.28,"Light"
"Light",13,"Bells",2020,0.648786475179103,0.265,"Light"
"Light",14,"Bells",2020,0.648786475179103,0.26,"Light"
"Light",0.5,"ODNR 4 ",2020,4.25576655396116,75.265,"Light"
"Light",1,"ODNR 4 ",2020,4.25576655396116,10.752,"Light"
"Light",1.5,"ODNR 4 ",2020,4.25576655396116,1.947,"Light"
"Light",2,"ODNR 4 ",2020,4.25576655396116,0.303,"Light"
"Light",2.5,"ODNR 4 ",2020,4.25576655396116,0.0666666666666667,"Light"
