site,date_time,discharge,notes
4198000,1/10/2018 18:00,,cubic feet per second
4198000,1/10/2018 18:30,,cubic feet per second
4198000,1/10/2018 19:00,,cubic feet per second
4198000,1/10/2018 19:30,,cubic feet per second
4198000,1/10/2018 20:00,,cubic feet per second
4198000,1/10/2018 20:30,,cubic feet per second
4198000,1/10/2018 21:00,,cubic feet per second
4198000,1/10/2018 21:30,,cubic feet per second
4198000,1/10/2018 22:00,,cubic feet per second
4198000,1/10/2018 22:30,,cubic feet per second
4198000,1/10/2018 23:00,,cubic feet per second
4198000,1/10/2018 23:30,,cubic feet per second
4198000,1/11/2018 0:00,423,cubic feet per second
4198000,1/11/2018 0:30,,cubic feet per second
4198000,1/11/2018 1:00,,cubic feet per second
4198000,1/11/2018 1:30,,cubic feet per second
4198000,1/11/2018 2:00,,cubic feet per second
4198000,1/11/2018 2:30,,cubic feet per second
4198000,1/11/2018 3:00,,cubic feet per second
4198000,1/11/2018 3:30,,cubic feet per second
4198000,1/11/2018 4:00,,cubic feet per second
4198000,1/11/2018 4:30,,cubic feet per second
4198000,1/11/2018 5:00,,cubic feet per second
4198000,1/11/2018 5:30,,cubic feet per second
4198000,1/11/2018 6:00,,cubic feet per second
4198000,1/11/2018 6:30,,cubic feet per second
4198000,1/11/2018 7:00,,cubic feet per second
4198000,1/11/2018 7:30,,cubic feet per second
4198000,1/11/2018 8:00,,cubic feet per second
4198000,1/11/2018 8:30,,cubic feet per second
4198000,1/11/2018 9:00,,cubic feet per second
4198000,1/11/2018 9:30,,cubic feet per second
4198000,1/11/2018 10:00,,cubic feet per second
4198000,1/11/2018 10:30,,cubic feet per second
4198000,1/11/2018 11:00,,cubic feet per second
4198000,1/11/2018 11:30,,cubic feet per second
4198000,1/11/2018 12:00,561,cubic feet per second
4198000,1/11/2018 12:30,,cubic feet per second
4198000,1/11/2018 13:00,,cubic feet per second
4198000,1/11/2018 13:30,,cubic feet per second
4198000,1/11/2018 14:00,,cubic feet per second
4198000,1/11/2018 14:30,,cubic feet per second
4198000,1/11/2018 15:00,,cubic feet per second
4198000,1/11/2018 15:30,,cubic feet per second
4198000,1/11/2018 16:00,,cubic feet per second
4198000,1/11/2018 16:30,,cubic feet per second
4198000,1/11/2018 17:00,,cubic feet per second
4198000,1/11/2018 17:30,,cubic feet per second
4198000,1/11/2018 18:00,,cubic feet per second
4198000,1/11/2018 18:30,,cubic feet per second
4198000,1/11/2018 19:00,,cubic feet per second
4198000,1/11/2018 19:30,,cubic feet per second
4198000,1/11/2018 20:00,,cubic feet per second
4198000,1/11/2018 20:30,,cubic feet per second
4198000,1/11/2018 21:00,,cubic feet per second
4198000,1/11/2018 21:30,,cubic feet per second
4198000,1/11/2018 22:00,,cubic feet per second
4198000,1/11/2018 22:30,,cubic feet per second
4198000,1/11/2018 23:00,,cubic feet per second
4198000,1/11/2018 23:30,,cubic feet per second
4198000,1/12/2018 0:00,1510,cubic feet per second
4198000,1/12/2018 0:30,,cubic feet per second
4198000,1/12/2018 1:00,,cubic feet per second
4198000,1/12/2018 1:30,,cubic feet per second
4198000,1/12/2018 2:00,,cubic feet per second
4198000,1/12/2018 2:30,,cubic feet per second
4198000,1/12/2018 3:00,,cubic feet per second
4198000,1/12/2018 3:30,,cubic feet per second
4198000,1/12/2018 4:00,,cubic feet per second
4198000,1/12/2018 4:30,,cubic feet per second
4198000,1/12/2018 5:00,,cubic feet per second
4198000,1/12/2018 5:30,,cubic feet per second
4198000,1/12/2018 6:00,,cubic feet per second
4198000,1/12/2018 6:30,,cubic feet per second
4198000,1/12/2018 7:00,,cubic feet per second
4198000,1/12/2018 7:30,,cubic feet per second
4198000,1/12/2018 8:00,,cubic feet per second
4198000,1/12/2018 8:30,,cubic feet per second
4198000,1/12/2018 9:00,,cubic feet per second
4198000,1/12/2018 9:30,4000,cubic feet per second
4198000,1/12/2018 10:00,4110,cubic feet per second
4198000,1/12/2018 10:30,4840,cubic feet per second
4198000,1/12/2018 11:00,5630,cubic feet per second
4198000,1/12/2018 11:30,6290,cubic feet per second
4198000,1/12/2018 12:00,6840,cubic feet per second
4198000,1/12/2018 12:30,6930,cubic feet per second
4198000,1/12/2018 13:00,6900,cubic feet per second
4198000,1/12/2018 13:30,7510,cubic feet per second
4198000,1/12/2018 14:00,7760,cubic feet per second
4198000,1/12/2018 14:30,8000,cubic feet per second
4198000,1/12/2018 15:00,8170,cubic feet per second
4198000,1/12/2018 15:30,8340,cubic feet per second
4198000,1/12/2018 16:00,8530,cubic feet per second
4198000,1/12/2018 16:30,8700,cubic feet per second
4198000,1/12/2018 17:00,8880,cubic feet per second
4198000,1/12/2018 17:30,9050,cubic feet per second
4198000,1/12/2018 18:00,9170,cubic feet per second
4198000,1/12/2018 18:30,9350,cubic feet per second
4198000,1/12/2018 19:00,9500,cubic feet per second
4198000,1/12/2018 19:30,9650,cubic feet per second
4198000,1/12/2018 20:00,9800,cubic feet per second
4198000,1/12/2018 20:30,9890,cubic feet per second
4198000,1/12/2018 21:00,10100,cubic feet per second
4198000,1/12/2018 21:30,10100,cubic feet per second
4198000,1/12/2018 22:00,10200,cubic feet per second
4198000,1/12/2018 22:30,10300,cubic feet per second
4198000,1/12/2018 23:00,10400,cubic feet per second
4198000,1/12/2018 23:30,10500,cubic feet per second
4198000,1/13/2018 0:00,10600,cubic feet per second
4198000,1/13/2018 0:30,10600,cubic feet per second
4198000,1/13/2018 1:00,10700,cubic feet per second
4198000,1/13/2018 1:30,10800,cubic feet per second
4198000,1/13/2018 2:00,10800,cubic feet per second
4198000,1/13/2018 2:30,10900,cubic feet per second
4198000,1/13/2018 3:00,10900,cubic feet per second
4198000,1/13/2018 3:30,11000,cubic feet per second
4198000,1/13/2018 4:00,11000,cubic feet per second
4198000,1/13/2018 4:30,11000,cubic feet per second
4198000,1/13/2018 5:00,11000,cubic feet per second
4198000,1/13/2018 5:30,11000,cubic feet per second
4198000,1/13/2018 6:00,11000,cubic feet per second
4198000,1/13/2018 6:30,11000,cubic feet per second
4198000,1/13/2018 7:00,11000,cubic feet per second
4198000,1/13/2018 7:30,10900,cubic feet per second
4198000,1/13/2018 8:00,10900,cubic feet per second
4198000,1/13/2018 8:30,10800,cubic feet per second
4198000,1/13/2018 9:00,10700,cubic feet per second
4198000,1/13/2018 9:30,10600,cubic feet per second
4198000,1/13/2018 10:00,10500,cubic feet per second
4198000,1/13/2018 10:30,10500,cubic feet per second
4198000,1/13/2018 11:00,10400,cubic feet per second
4198000,1/13/2018 11:30,10300,cubic feet per second
4198000,1/13/2018 12:00,10300,cubic feet per second
4198000,1/13/2018 12:30,10200,cubic feet per second
4198000,1/13/2018 13:00,10200,cubic feet per second
4198000,1/13/2018 13:30,10200,cubic feet per second
4198000,1/13/2018 14:00,10200,cubic feet per second
4198000,1/13/2018 14:30,10100,cubic feet per second
4198000,1/13/2018 15:00,10100,cubic feet per second
4198000,1/13/2018 15:30,10000,cubic feet per second
4198000,1/13/2018 16:00,10000,cubic feet per second
4198000,1/13/2018 16:30,10000,cubic feet per second
4198000,1/13/2018 17:00,9970,cubic feet per second
4198000,1/13/2018 17:30,9940,cubic feet per second
4198000,1/13/2018 18:00,9880,cubic feet per second
4198000,1/13/2018 18:30,9820,cubic feet per second
4198000,1/13/2018 19:00,9760,cubic feet per second
